"n","tau","kappa","estimator","total_replications","median_added_measure_A0_to_A1","mean_added_measure_A0_to_A1","median_accepted_share_A0","mean_accepted_share_A0","median_accepted_share_A1","mean_accepted_share_A1","boundary_acceptance_rate_A0","boundary_acceptance_rate_A1","all_grid_acceptance_rate_A0","all_grid_acceptance_rate_A1","outer_band_contact_rate"
1000,0.75,1,"DML-IVQR-BC",100,0,0,0.0731707317073171,0.0680487804878049,0.037037037037037,0.0344444444444444,0,0,0,0,0
1000,0.75,1,"Full-GMM",100,0,0,0.121951219512195,0.124878048780488,0.0617283950617284,0.0632098765432099,0,0,0,0,0
1000,0.75,1,"Oracle-GMM",100,0,0,0.0731707317073171,0.0707317073170732,0.037037037037037,0.0358024691358025,0,0,0,0,0
1000,0.9,0.1,"DML-IVQR-BC",100,4,3.3989898989899,1,0.91,0.962962962962963,0.879785509415139,0.99,0.97979797979798,0.51,0.393939393939394,0.99
1000,0.9,0.1,"Full-GMM",100,3.8,3.6305,0.975609756097561,0.95390243902439,0.962962962962963,0.930493827160494,1,0.99,0.38,0.11,1
1000,0.9,0.1,"Oracle-GMM",100,4,3.529,1,0.926829268292683,0.987654320987654,0.904691358024691,0.98,1,0.62,0.45,1
1000,0.9,0.25,"DML-IVQR-BC",100,2,2.1355,0.853658536585366,0.773658536585366,0.672839506172839,0.654814814814815,0.82,0.77,0.21,0.1,0.83
1000,0.9,0.25,"Full-GMM",100,2.6,2.568,0.902439024390244,0.884878048780488,0.765432098765432,0.762962962962963,0.96,0.8,0.11,0.06,0.96
1000,0.9,0.25,"Oracle-GMM",100,2.05,2.2445,0.902439024390244,0.839512195121951,0.728395061728395,0.700987654320988,0.85,0.76,0.25,0.09,0.86
1000,0.9,1,"DML-IVQR-BC",100,0,0,0.0975609756097561,0.110731707317073,0.0493827160493827,0.0560493827160494,0,0,0,0,0
1000,0.9,1,"Full-GMM",100,0,0.005,0.24390243902439,0.250243902439024,0.123456790123457,0.127283950617284,0,0,0,0,0.01
1000,0.9,1,"Oracle-GMM",100,0,0,0.121951219512195,0.126585365853659,0.0617283950617284,0.0640740740740741,0,0,0,0,0
