"n","tau","kappa","estimator","metric","value"
1000,0.25,0.1,"DML-IVQR","full_A_acceptance_rate",0.446
1000,0.25,0.1,"Full-GMM","full_A_acceptance_rate",0.308
1000,0.25,0.1,"Oracle-GMM","full_A_acceptance_rate",0.428
1000,0.5,1,"DML-IVQR","full_A_acceptance_rate",0
1000,0.5,1,"Full-GMM","full_A_acceptance_rate",0
1000,0.5,1,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.5,0.5,"DML-IVQR","full_A_acceptance_rate",0
1000,0.5,0.5,"Full-GMM","full_A_acceptance_rate",0
1000,0.5,0.5,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.5,0.25,"DML-IVQR","full_A_acceptance_rate",0.026
1000,0.5,0.25,"Full-GMM","full_A_acceptance_rate",0.02
1000,0.5,0.25,"Oracle-GMM","full_A_acceptance_rate",0.022
1000,0.5,0.1,"DML-IVQR","full_A_acceptance_rate",0.368
1000,0.5,0.1,"Full-GMM","full_A_acceptance_rate",0.312
1000,0.5,0.1,"Oracle-GMM","full_A_acceptance_rate",0.37
1000,0.75,1,"DML-IVQR","full_A_acceptance_rate",0
1000,0.75,1,"Full-GMM","full_A_acceptance_rate",0
1000,0.75,1,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.75,0.5,"DML-IVQR","full_A_acceptance_rate",0
1000,0.75,0.5,"Full-GMM","full_A_acceptance_rate",0
1000,0.75,0.5,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.75,0.25,"DML-IVQR","full_A_acceptance_rate",0.034
1000,0.75,0.25,"Full-GMM","full_A_acceptance_rate",0.022
1000,0.75,0.25,"Oracle-GMM","full_A_acceptance_rate",0.044
1000,0.75,0.1,"DML-IVQR","full_A_acceptance_rate",0.39
1000,0.75,0.1,"Full-GMM","full_A_acceptance_rate",0.302
1000,0.75,0.1,"Oracle-GMM","full_A_acceptance_rate",0.388
1000,0.9,1,"DML-IVQR","full_A_acceptance_rate",0
1000,0.9,1,"Full-GMM","full_A_acceptance_rate",0
1000,0.9,1,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.9,0.5,"DML-IVQR","full_A_acceptance_rate",0
1000,0.9,0.5,"Full-GMM","full_A_acceptance_rate",0
1000,0.9,0.5,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.9,0.25,"DML-IVQR","full_A_acceptance_rate",0.14
1000,0.9,0.25,"Full-GMM","full_A_acceptance_rate",0.082
1000,0.9,0.25,"Oracle-GMM","full_A_acceptance_rate",0.196
1000,0.9,0.1,"DML-IVQR","full_A_acceptance_rate",0.508
1000,0.9,0.1,"Full-GMM","full_A_acceptance_rate",0.288
1000,0.9,0.1,"Oracle-GMM","full_A_acceptance_rate",0.558
