"n","tau","kappa","estimator","Delta","metric","value","MCSE"
500,0.9,0.25,"DML-IVQR",-0.5,"rejection_probability",0.064,0.0109456840809517
500,0.9,0.25,"DML-IVQR",-0.25,"rejection_probability",0.046,0.00936845771725528
500,0.9,0.25,"DML-IVQR",0.25,"rejection_probability",0.11,0.0139928553197694
500,0.9,0.25,"DML-IVQR",0.5,"rejection_probability",0.136,0.0153299706457645
500,0.9,0.1,"DML-IVQR",-0.5,"rejection_probability",0.058,0.0104533248299285
500,0.9,0.1,"DML-IVQR",-0.25,"rejection_probability",0.048,0.00955991631762538
500,0.9,0.1,"DML-IVQR",0.25,"rejection_probability",0.054,0.0101078187557949
500,0.9,0.1,"DML-IVQR",0.5,"rejection_probability",0.05,0.00974679434480896
1000,0.1,1,"DML-IVQR",-0.5,"rejection_probability",0.986,0.00525433154644813
1000,0.1,1,"DML-IVQR",-0.25,"rejection_probability",0.488,0.0223542389716134
1000,0.1,1,"DML-IVQR",0.25,"rejection_probability",0.27,0.0198544705293292
1000,0.1,1,"DML-IVQR",0.5,"rejection_probability",0.694,0.0206089301032344
1000,0.1,0.5,"DML-IVQR",-0.5,"rejection_probability",0.68,0.0208614476966485
1000,0.1,0.5,"DML-IVQR",-0.25,"rejection_probability",0.198,0.0178211110764733
1000,0.1,0.5,"DML-IVQR",0.25,"rejection_probability",0.068,0.0112584190719657
1000,0.1,0.5,"DML-IVQR",0.5,"rejection_probability",0.122,0.0146366662871024
1000,0.1,0.25,"DML-IVQR",-0.5,"rejection_probability",0.284,0.0201665068864194
1000,0.1,0.25,"DML-IVQR",-0.25,"rejection_probability",0.116,0.0143208938268531
1000,0.1,0.25,"DML-IVQR",0.25,"rejection_probability",0.042,0.00897061870775924
1000,0.1,0.25,"DML-IVQR",0.5,"rejection_probability",0.038,0.00855055553750749
1000,0.1,0.1,"DML-IVQR",-0.5,"rejection_probability",0.108,0.0138806339912844
1000,0.1,0.1,"DML-IVQR",-0.25,"rejection_probability",0.078,0.0119929979571415
1000,0.1,0.1,"DML-IVQR",0.25,"rejection_probability",0.044,0.00917213170424411
1000,0.1,0.1,"DML-IVQR",0.5,"rejection_probability",0.036,0.0083311463797007
1000,0.25,1,"DML-IVQR",-0.5,"rejection_probability",1,0
1000,0.25,1,"DML-IVQR",-0.25,"rejection_probability",0.796,0.0180213207063189
1000,0.25,1,"DML-IVQR",0.25,"rejection_probability",0.818,0.0172554918793989
1000,0.25,1,"DML-IVQR",0.5,"rejection_probability",0.992,0.0039839678713564
1000,0.25,0.5,"DML-IVQR",-0.5,"rejection_probability",0.878,0.0146366662871024
1000,0.25,0.5,"DML-IVQR",-0.25,"rejection_probability",0.306,0.0206089301032344
1000,0.25,0.5,"DML-IVQR",0.25,"rejection_probability",0.214,0.0183414285157945
1000,0.25,0.5,"DML-IVQR",0.5,"rejection_probability",0.49,0.0223562071917398
1000,0.25,0.25,"DML-IVQR",-0.5,"rejection_probability",0.34,0.0211849002829846
1000,0.25,0.25,"DML-IVQR",-0.25,"rejection_probability",0.138,0.01542439626047
1000,0.25,0.25,"DML-IVQR",0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.25,0.25,"DML-IVQR",0.5,"rejection_probability",0.122,0.0146366662871024
1000,0.25,0.1,"DML-IVQR",-0.5,"rejection_probability",0.12,0.014532721699668
1000,0.25,0.1,"DML-IVQR",-0.25,"rejection_probability",0.076,0.0118510759005248
1000,0.25,0.1,"DML-IVQR",0.25,"rejection_probability",0.05,0.00974679434480896
1000,0.25,0.1,"DML-IVQR",0.5,"rejection_probability",0.052,0.00992935043192655
1000,0.5,1,"DML-IVQR",-0.5,"rejection_probability",1,0
1000,0.5,1,"DML-IVQR",-0.25,"rejection_probability",0.818,0.0172554918793989
1000,0.5,1,"DML-IVQR",0.25,"rejection_probability",0.976,0.00684455988358638
1000,0.5,1,"DML-IVQR",0.5,"rejection_probability",1,0
1000,0.5,0.5,"DML-IVQR",-0.5,"rejection_probability",0.814,0.0174013792556797
1000,0.5,0.5,"DML-IVQR",-0.25,"rejection_probability",0.354,0.0213861637513604
1000,0.5,0.5,"DML-IVQR",0.25,"rejection_probability",0.478,0.0223390241505756
1000,0.5,0.5,"DML-IVQR",0.5,"rejection_probability",0.832,0.0167198086113448
1000,0.5,0.25,"DML-IVQR",-0.5,"rejection_probability",0.334,0.0210923682880799
1000,0.5,0.25,"DML-IVQR",-0.25,"rejection_probability",0.146,0.015791390059143
1000,0.5,0.25,"DML-IVQR",0.25,"rejection_probability",0.112,0.014103616557465
1000,0.5,0.25,"DML-IVQR",0.5,"rejection_probability",0.252,0.0194162818273736
1000,0.5,0.1,"DML-IVQR",-0.5,"rejection_probability",0.114,0.0142129518397833
1000,0.5,0.1,"DML-IVQR",-0.25,"rejection_probability",0.076,0.0118510759005248
1000,0.5,0.1,"DML-IVQR",0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.5,0.1,"DML-IVQR",0.5,"rejection_probability",0.07,0.0114105214604767
1000,0.75,1,"DML-IVQR",-0.5,"rejection_probability",0.992,0.0039839678713564
1000,0.75,1,"DML-IVQR",-0.25,"rejection_probability",0.55,0.022248595461287
1000,0.75,1,"DML-IVQR",0.25,"rejection_probability",1,0
1000,0.75,1,"DML-IVQR",0.5,"rejection_probability",1,0
1000,0.75,0.5,"DML-IVQR",-0.5,"rejection_probability",0.606,0.021852414054287
1000,0.75,0.5,"DML-IVQR",-0.25,"rejection_probability",0.196,0.017752971582245
1000,0.75,0.5,"DML-IVQR",0.25,"rejection_probability",0.65,0.0213307290077015
1000,0.75,0.5,"DML-IVQR",0.5,"rejection_probability",0.952,0.00955991631762538
1000,0.75,0.25,"DML-IVQR",-0.5,"rejection_probability",0.232,0.0188772879408034
