"n","tau","kappa","estimator","metric","value"
1000,0.75,0.1,"DML-IVQR","MAE",0.679738778985098
1000,0.75,0.1,"Full-GMM","MAE",0.853012237033726
1000,0.75,0.1,"Oracle-GMM","MAE",0.753183672006275
1000,0.9,1,"DML-IVQR","MAE",0.184777108795286
1000,0.9,1,"Full-GMM","MAE",0.394924696270929
1000,0.9,1,"Oracle-GMM","MAE",0.105617219176244
1000,0.9,0.5,"DML-IVQR","MAE",0.252342670442798
1000,0.9,0.5,"Full-GMM","MAE",0.585835764375474
1000,0.9,0.5,"Oracle-GMM","MAE",0.271519963206347
1000,0.9,0.25,"DML-IVQR","MAE",0.510760644614667
1000,0.9,0.25,"Full-GMM","MAE",0.9545757827723
1000,0.9,0.25,"Oracle-GMM","MAE",0.658772375730704
1000,0.9,0.1,"DML-IVQR","MAE",0.802298581992883
1000,0.9,0.1,"Full-GMM","MAE",1.23330198903448
1000,0.9,0.1,"Oracle-GMM","MAE",0.928962725633277
