"n","tau","kappa","estimator","Delta","metric","value","MCSE"
1000,0.25,1,"Full-GMM",0.5,"rejection_probability",0.902,0.0132963152790538
1000,0.25,1,"Oracle-GMM",0.5,"rejection_probability",1,0
1000,0.25,0.5,"DML-IVQR",0.5,"rejection_probability",0.49,0.0223562071917398
1000,0.25,0.5,"Full-GMM",0.5,"rejection_probability",0.298,0.0204546327270865
1000,0.25,0.5,"Oracle-GMM",0.5,"rejection_probability",0.708,0.0203340109176719
1000,0.25,0.25,"DML-IVQR",0.5,"rejection_probability",0.122,0.0146366662871024
1000,0.25,0.25,"Full-GMM",0.5,"rejection_probability",0.116,0.0143208938268531
1000,0.25,0.25,"Oracle-GMM",0.5,"rejection_probability",0.222,0.0185858010319706
1000,0.25,0.1,"DML-IVQR",0.5,"rejection_probability",0.052,0.00992935043192655
1000,0.25,0.1,"Full-GMM",0.5,"rejection_probability",0.056,0.0102824121683582
1000,0.25,0.1,"Oracle-GMM",0.5,"rejection_probability",0.088,0.0126693330526907
1000,0.5,1,"DML-IVQR",0.5,"rejection_probability",1,0
1000,0.5,1,"Full-GMM",0.5,"rejection_probability",1,0
1000,0.5,1,"Oracle-GMM",0.5,"rejection_probability",1,0
1000,0.5,0.5,"DML-IVQR",0.5,"rejection_probability",0.832,0.0167198086113448
1000,0.5,0.5,"Full-GMM",0.5,"rejection_probability",0.69,0.0206833266183175
1000,0.5,0.5,"Oracle-GMM",0.5,"rejection_probability",0.91,0.0127984374046209
1000,0.5,0.25,"DML-IVQR",0.5,"rejection_probability",0.252,0.0194162818273736
1000,0.5,0.25,"Full-GMM",0.5,"rejection_probability",0.222,0.0185858010319706
1000,0.5,0.25,"Oracle-GMM",0.5,"rejection_probability",0.356,0.0214132669156297
1000,0.5,0.1,"DML-IVQR",0.5,"rejection_probability",0.07,0.0114105214604767
1000,0.5,0.1,"Full-GMM",0.5,"rejection_probability",0.08,0.0121326007104825
1000,0.5,0.1,"Oracle-GMM",0.5,"rejection_probability",0.106,0.0137669168661687
1000,0.75,1,"DML-IVQR",0.5,"rejection_probability",1,0
1000,0.75,1,"Full-GMM",0.5,"rejection_probability",1,0
1000,0.75,1,"Oracle-GMM",0.5,"rejection_probability",1,0
1000,0.75,0.5,"DML-IVQR",0.5,"rejection_probability",0.952,0.00955991631762538
1000,0.75,0.5,"Full-GMM",0.5,"rejection_probability",0.83,0.016798809481627
1000,0.75,0.5,"Oracle-GMM",0.5,"rejection_probability",0.954,0.00936845771725528
1000,0.75,0.25,"DML-IVQR",0.5,"rejection_probability",0.374,0.0216390387956582
1000,0.75,0.25,"Full-GMM",0.5,"rejection_probability",0.262,0.0196649942791754
1000,0.75,0.25,"Oracle-GMM",0.5,"rejection_probability",0.412,0.0220116332878776
1000,0.75,0.1,"DML-IVQR",0.5,"rejection_probability",0.072,0.0115599307956406
1000,0.75,0.1,"Full-GMM",0.5,"rejection_probability",0.078,0.0119929979571415
1000,0.75,0.1,"Oracle-GMM",0.5,"rejection_probability",0.096,0.0131745208641529
1000,0.9,1,"DML-IVQR",0.5,"rejection_probability",1,0
1000,0.9,1,"Full-GMM",0.5,"rejection_probability",0.982,0.005945754788082
1000,0.9,1,"Oracle-GMM",0.5,"rejection_probability",1,0
1000,0.9,0.5,"DML-IVQR",0.5,"rejection_probability",0.898,0.0135348439222623
1000,0.9,0.5,"Full-GMM",0.5,"rejection_probability",0.664,0.0211236360506424
1000,0.9,0.5,"Oracle-GMM",0.5,"rejection_probability",0.84,0.0163951212255354
1000,0.9,0.25,"DML-IVQR",0.5,"rejection_probability",0.324,0.020929596269398
1000,0.9,0.25,"Full-GMM",0.5,"rejection_probability",0.262,0.0196649942791754
1000,0.9,0.25,"Oracle-GMM",0.5,"rejection_probability",0.316,0.020791536739741
1000,0.9,0.1,"DML-IVQR",0.5,"rejection_probability",0.08,0.0121326007104825
1000,0.9,0.1,"Full-GMM",0.5,"rejection_probability",0.094,0.0130509769749241
1000,0.9,0.1,"Oracle-GMM",0.5,"rejection_probability",0.112,0.014103616557465
