"n","tau","kappa","estimator","Delta","metric","value","MCSE"
1000,0.25,1,"DML-IVQR",0.25,"rejection_probability",0.818,0.0172554918793989
1000,0.25,1,"Full-GMM",0.25,"rejection_probability",0.21,0.018215378118502
1000,0.25,1,"Oracle-GMM",0.25,"rejection_probability",0.884,0.0143208938268531
1000,0.25,0.5,"DML-IVQR",0.25,"rejection_probability",0.214,0.0183414285157945
1000,0.25,0.5,"Full-GMM",0.25,"rejection_probability",0.09,0.0127984374046209
1000,0.25,0.5,"Oracle-GMM",0.25,"rejection_probability",0.322,0.0208957411928843
1000,0.25,0.25,"DML-IVQR",0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.25,0.25,"Full-GMM",0.25,"rejection_probability",0.054,0.0101078187557949
1000,0.25,0.25,"Oracle-GMM",0.25,"rejection_probability",0.106,0.0137669168661687
1000,0.25,0.1,"DML-IVQR",0.25,"rejection_probability",0.05,0.00974679434480896
1000,0.25,0.1,"Full-GMM",0.25,"rejection_probability",0.044,0.00917213170424411
1000,0.25,0.1,"Oracle-GMM",0.25,"rejection_probability",0.054,0.0101078187557949
1000,0.5,1,"DML-IVQR",0.25,"rejection_probability",0.976,0.00684455988358638
1000,0.5,1,"Full-GMM",0.25,"rejection_probability",0.746,0.0194671004517879
1000,0.5,1,"Oracle-GMM",0.25,"rejection_probability",0.978,0.00655987804764693
1000,0.5,0.5,"DML-IVQR",0.25,"rejection_probability",0.478,0.0223390241505756
1000,0.5,0.5,"Full-GMM",0.25,"rejection_probability",0.244,0.0192074985357282
1000,0.5,0.5,"Oracle-GMM",0.25,"rejection_probability",0.496,0.0223599642217961
1000,0.5,0.25,"DML-IVQR",0.25,"rejection_probability",0.112,0.014103616557465
1000,0.5,0.25,"Full-GMM",0.25,"rejection_probability",0.09,0.0127984374046209
1000,0.5,0.25,"Oracle-GMM",0.25,"rejection_probability",0.166,0.0166399519230075
1000,0.5,0.1,"DML-IVQR",0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.5,0.1,"Full-GMM",0.25,"rejection_probability",0.058,0.0104533248299285
1000,0.5,0.1,"Oracle-GMM",0.25,"rejection_probability",0.082,0.0122699633251286
1000,0.75,1,"DML-IVQR",0.25,"rejection_probability",1,0
1000,0.75,1,"Full-GMM",0.25,"rejection_probability",0.894,0.0137669168661687
1000,0.75,1,"Oracle-GMM",0.25,"rejection_probability",0.982,0.005945754788082
1000,0.75,0.5,"DML-IVQR",0.25,"rejection_probability",0.65,0.0213307290077015
1000,0.75,0.5,"Full-GMM",0.25,"rejection_probability",0.378,0.0216848334095515
1000,0.75,0.5,"Oracle-GMM",0.25,"rejection_probability",0.556,0.0222199909990981
1000,0.75,0.25,"DML-IVQR",0.25,"rejection_probability",0.194,0.0176841171676734
1000,0.75,0.25,"Full-GMM",0.25,"rejection_probability",0.122,0.0146366662871024
1000,0.75,0.25,"Oracle-GMM",0.25,"rejection_probability",0.18,0.0171813852759316
1000,0.75,0.1,"DML-IVQR",0.25,"rejection_probability",0.068,0.0112584190719657
1000,0.75,0.1,"Full-GMM",0.25,"rejection_probability",0.056,0.0102824121683582
1000,0.75,0.1,"Oracle-GMM",0.25,"rejection_probability",0.068,0.0112584190719657
1000,0.9,1,"DML-IVQR",0.25,"rejection_probability",0.984,0.00561141693336006
1000,0.9,1,"Full-GMM",0.25,"rejection_probability",0.832,0.0167198086113448
1000,0.9,1,"Oracle-GMM",0.25,"rejection_probability",0.898,0.0135348439222623
1000,0.9,0.5,"DML-IVQR",0.25,"rejection_probability",0.656,0.0212444816364156
1000,0.9,0.5,"Full-GMM",0.25,"rejection_probability",0.45,0.022248595461287
1000,0.9,0.5,"Oracle-GMM",0.25,"rejection_probability",0.454,0.0222658482883541
1000,0.9,0.25,"DML-IVQR",0.25,"rejection_probability",0.186,0.0174013792556797
1000,0.9,0.25,"Full-GMM",0.25,"rejection_probability",0.134,0.0152344346793703
1000,0.9,0.25,"Oracle-GMM",0.25,"rejection_probability",0.138,0.01542439626047
1000,0.9,0.1,"DML-IVQR",0.25,"rejection_probability",0.076,0.0118510759005248
1000,0.9,0.1,"Full-GMM",0.25,"rejection_probability",0.058,0.0104533248299285
1000,0.9,0.1,"Oracle-GMM",0.25,"rejection_probability",0.052,0.00992935043192655
