"n","tau","kappa","estimator","metric","value"
1000,0.25,0.25,"DML-IVQR","median_accepted_set_measure_A",2.9125
1000,0.25,0.25,"Full-GMM","median_accepted_set_measure_A",2.625
1000,0.25,0.25,"Oracle-GMM","median_accepted_set_measure_A",2.15
1000,0.25,0.1,"DML-IVQR","median_accepted_set_measure_A",3.9125
1000,0.25,0.1,"Full-GMM","median_accepted_set_measure_A",3.85
1000,0.25,0.1,"Oracle-GMM","median_accepted_set_measure_A",3.9
1000,0.5,1,"DML-IVQR","median_accepted_set_measure_A",0.25
1000,0.5,1,"Full-GMM","median_accepted_set_measure_A",0.35
1000,0.5,1,"Oracle-GMM","median_accepted_set_measure_A",0.25
1000,0.5,0.5,"DML-IVQR","median_accepted_set_measure_A",0.6
1000,0.5,0.5,"Full-GMM","median_accepted_set_measure_A",0.8
1000,0.5,0.5,"Oracle-GMM","median_accepted_set_measure_A",0.525
1000,0.5,0.25,"DML-IVQR","median_accepted_set_measure_A",1.9
1000,0.5,0.25,"Full-GMM","median_accepted_set_measure_A",2.1875
1000,0.5,0.25,"Oracle-GMM","median_accepted_set_measure_A",1.8
1000,0.5,0.1,"DML-IVQR","median_accepted_set_measure_A",3.825
1000,0.5,0.1,"Full-GMM","median_accepted_set_measure_A",3.8
1000,0.5,0.1,"Oracle-GMM","median_accepted_set_measure_A",3.85
1000,0.75,1,"DML-IVQR","median_accepted_set_measure_A",0.3
1000,0.75,1,"Full-GMM","median_accepted_set_measure_A",0.5
1000,0.75,1,"Oracle-GMM","median_accepted_set_measure_A",0.25
1000,0.75,0.5,"DML-IVQR","median_accepted_set_measure_A",0.65
1000,0.75,0.5,"Full-GMM","median_accepted_set_measure_A",1.15
1000,0.75,0.5,"Oracle-GMM","median_accepted_set_measure_A",0.7
1000,0.75,0.25,"DML-IVQR","median_accepted_set_measure_A",2.2625
1000,0.75,0.25,"Full-GMM","median_accepted_set_measure_A",2.925
1000,0.75,0.25,"Oracle-GMM","median_accepted_set_measure_A",2.675
