"n","tau","kappa","estimator","metric","value"
1000,0.75,0.5,"DML-IVQR","RMSE",0.176165932829719
1000,0.75,0.5,"Full-GMM","RMSE",0.308183855527642
1000,0.75,0.5,"Oracle-GMM","RMSE",0.163956664907912
1000,0.75,0.25,"DML-IVQR","RMSE",0.537787744189865
1000,0.75,0.25,"Full-GMM","RMSE",0.706069990541598
1000,0.75,0.25,"Oracle-GMM","RMSE",0.559332824534521
1000,0.75,0.1,"DML-IVQR","RMSE",0.90949915997109
1000,0.75,0.1,"Full-GMM","RMSE",1.09906236407002
1000,0.75,0.1,"Oracle-GMM","RMSE",1.03481090135683
1000,0.9,1,"DML-IVQR","RMSE",0.213440630646706
1000,0.9,1,"Full-GMM","RMSE",0.466623541014278
1000,0.9,1,"Oracle-GMM","RMSE",0.136510107995821
1000,0.9,0.5,"DML-IVQR","RMSE",0.387259061275288
1000,0.9,0.5,"Full-GMM","RMSE",0.809913429298895
1000,0.9,0.5,"Oracle-GMM","RMSE",0.472184727227202
1000,0.9,0.25,"DML-IVQR","RMSE",0.817458777639235
1000,0.9,0.25,"Full-GMM","RMSE",1.30311695768897
1000,0.9,0.25,"Oracle-GMM","RMSE",1.04530472905254
1000,0.9,0.1,"DML-IVQR","RMSE",1.16608435556313
1000,0.9,0.1,"Full-GMM","RMSE",1.57122818459698
1000,0.9,0.1,"Oracle-GMM","RMSE",1.34406901057401
