"n","tau","kappa","estimator","Delta","metric","value","MCSE"
1000,0.1,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.08,0.0121326007104825
1000,0.25,1,"DML-IVQR",-0.5,"rejection_probability",1,0
1000,0.25,1,"Full-GMM",-0.5,"rejection_probability",1,0
1000,0.25,1,"Oracle-GMM",-0.5,"rejection_probability",1,0
1000,0.25,0.5,"DML-IVQR",-0.5,"rejection_probability",0.878,0.0146366662871024
1000,0.25,0.5,"Full-GMM",-0.5,"rejection_probability",0.812,0.0174731794473702
1000,0.25,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.946,0.0101078187557949
1000,0.25,0.25,"DML-IVQR",-0.5,"rejection_probability",0.34,0.0211849002829846
1000,0.25,0.25,"Full-GMM",-0.5,"rejection_probability",0.302,0.0205327056181108
1000,0.25,0.25,"Oracle-GMM",-0.5,"rejection_probability",0.382,0.0217290588843604
1000,0.25,0.1,"DML-IVQR",-0.5,"rejection_probability",0.12,0.014532721699668
1000,0.25,0.1,"Full-GMM",-0.5,"rejection_probability",0.1,0.0134164078649987
1000,0.25,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.112,0.014103616557465
1000,0.5,1,"DML-IVQR",-0.5,"rejection_probability",1,0
1000,0.5,1,"Full-GMM",-0.5,"rejection_probability",1,0
1000,0.5,1,"Oracle-GMM",-0.5,"rejection_probability",1,0
1000,0.5,0.5,"DML-IVQR",-0.5,"rejection_probability",0.814,0.0174013792556797
1000,0.5,0.5,"Full-GMM",-0.5,"rejection_probability",0.694,0.0206089301032344
1000,0.5,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.852,0.0158805541465026
1000,0.5,0.25,"DML-IVQR",-0.5,"rejection_probability",0.334,0.0210923682880799
1000,0.5,0.25,"Full-GMM",-0.5,"rejection_probability",0.22,0.0185256578830551
1000,0.5,0.25,"Oracle-GMM",-0.5,"rejection_probability",0.332,0.0210606742532142
1000,0.5,0.1,"DML-IVQR",-0.5,"rejection_probability",0.114,0.0142129518397833
1000,0.5,0.1,"Full-GMM",-0.5,"rejection_probability",0.08,0.0121326007104825
1000,0.5,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.112,0.014103616557465
1000,0.75,1,"DML-IVQR",-0.5,"rejection_probability",0.992,0.0039839678713564
1000,0.75,1,"Full-GMM",-0.5,"rejection_probability",0.764,0.0189896814085966
1000,0.75,1,"Oracle-GMM",-0.5,"rejection_probability",0.998,0.00199799899899875
1000,0.75,0.5,"DML-IVQR",-0.5,"rejection_probability",0.606,0.021852414054287
1000,0.75,0.5,"Full-GMM",-0.5,"rejection_probability",0.264,0.0197131428240146
1000,0.75,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.59,0.0219954540757858
1000,0.75,0.25,"DML-IVQR",-0.5,"rejection_probability",0.232,0.0188772879408034
1000,0.75,0.25,"Full-GMM",-0.5,"rejection_probability",0.09,0.0127984374046209
1000,0.75,0.25,"Oracle-GMM",-0.5,"rejection_probability",0.188,0.0174731794473702
1000,0.75,0.1,"DML-IVQR",-0.5,"rejection_probability",0.088,0.0126693330526907
1000,0.75,0.1,"Full-GMM",-0.5,"rejection_probability",0.05,0.00974679434480896
1000,0.75,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.066,0.0111035129576184
1000,0.9,1,"DML-IVQR",-0.5,"rejection_probability",0.692,0.0206463556106156
1000,0.9,1,"Full-GMM",-0.5,"rejection_probability",0.08,0.0121326007104825
1000,0.9,1,"Oracle-GMM",-0.5,"rejection_probability",0.738,0.0196649942791754
1000,0.9,0.5,"DML-IVQR",-0.5,"rejection_probability",0.21,0.018215378118502
1000,0.9,0.5,"Full-GMM",-0.5,"rejection_probability",0.05,0.00974679434480896
1000,0.9,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.184,0.0173288199251998
1000,0.9,0.25,"DML-IVQR",-0.5,"rejection_probability",0.096,0.0131745208641529
1000,0.9,0.25,"Full-GMM",-0.5,"rejection_probability",0.044,0.00917213170424411
1000,0.9,0.25,"Oracle-GMM",-0.5,"rejection_probability",0.072,0.0115599307956406
1000,0.9,0.1,"DML-IVQR",-0.5,"rejection_probability",0.056,0.0102824121683582
1000,0.9,0.1,"Full-GMM",-0.5,"rejection_probability",0.046,0.00936845771725528
1000,0.9,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.042,0.00897061870775924
