"section","n","tau","kappa","estimator","replications","coverage","rejection_count","rejection_rate","MCSE","Wilson_lower","Wilson_upper","mean_W_true","median_W_true","q90_W_true","q95_W_true","max_W_true","coverage_rank","q50","q90","q95","q99","mean","maximum","q90_chisq2","q95_chisq2","q99_chisq2","aggregation","pilot_RMSE","authors_RMSE","RMSE_difference","RMSE_ratio","pilot_MAE","authors_MAE","MAE_difference","MAE_ratio","pilot_bias_estimate_minus_truth","pilot_bias_truth_minus_estimate","authors_bias_truth_minus_estimate","harmonized_bias_difference","all_grid_accepted_but_not_covered","no_grid_point_accepted_but_covered","grid_measure_four_but_not_covered","delta","power","null_rejection_rate","power_below_size","metric","value"
"coverage_matrix",500,0.1,1,"Oracle-GMM",50,0.82,9,0.18,0.0543323108288245,0.692039463256992,0.902298073297658,3.35868768770907,2.6438482502728,7.41353197051233,8.09270270166436,15.5431658482303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,1,"Full-GMM",50,0.48,26,0.52,0.0706540869306228,0.347971352865781,0.614882551099554,7.91472597364359,6.87719322188836,15.9947452842865,18.3802439395531,21.8241494924673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,1,"DML-IVQR",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,2.06710959298234,1.52081302141691,4.54403125162998,5.40305325696722,9.52010404584779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.5,"Oracle-GMM",50,0.84,8,0.16,0.0518459255872629,0.71485783936965,0.916625793219666,2.72022808579967,1.66289019013342,6.61613648292553,7.10694692235361,10.2573033217547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.5,"Full-GMM",50,0.88,6,0.12,0.0459565011723042,0.76195182616797,0.943823998490677,2.93936950777663,2.10515878556439,6.14752811500312,7.83909755543029,10.8578185510946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.5,"DML-IVQR",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,1.98621319862294,1.53266854934984,4.52351706357191,5.80223186040666,7.40857046680383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.25,"Oracle-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.13802292619986,1.49480760451737,4.77488788187709,5.89597067500767,7.54723893402806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.25,"Full-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.23054565437752,1.64055904545286,4.98841151262754,6.40744232089001,12.4582449488985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.25,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.37045003349467,1.63160655835814,5.20739606724278,6.65938281531699,8.90080293049707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.1,"Oracle-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.42834105022323,1.52077221240118,5.75056832234382,7.23578747468959,10.359082498478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.1,"Full-GMM",50,0.98,1,0.02,0.0197989898732233,0.895045564103622,0.996460740728354,1.9304100273591,1.76421532216132,4.3534897275156,4.74150396695928,6.42041627644827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.1,0.1,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.47899374213252,2.12934922433743,5.83805744069387,6.65202723463543,8.27945323803199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,1,"Oracle-GMM",50,0.8,10,0.2,0.0565685424949238,0.669628940677746,0.887562499842239,3.56934814823149,1.97609496814672,9.18187481725067,12.7259155325295,18.2816659993776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,1,"Full-GMM",50,0.82,9,0.18,0.0543323108288245,0.692039463256992,0.902298073297658,3.86196382470721,2.97547678542424,10.2853269755287,10.8321692132645,15.8391758461801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
