"n","tau","kappa","estimator","total_profiles","W_failures","non_OK_statuses","CR_length_NA_count","point_boundary_hits","CR_left_boundary_contacts","CR_right_boundary_contacts","full_A_CR_count"
1000,0.25,0.25,"DML-IVQR",50,0,0,0,2,7,31,0
1000,0.25,0.25,"Full-GMM",50,0,0,0,0,14,20,0
1000,0.25,0.25,"Oracle-GMM",50,0,0,0,1,13,14,0
1000,0.25,0.1,"DML-IVQR",50,0,0,0,0,30,47,19
1000,0.25,0.1,"Full-GMM",50,0,0,0,1,42,42,11
1000,0.25,0.1,"Oracle-GMM",50,0,0,0,1,42,40,18
1000,0.5,1,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.5,1,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.5,1,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.5,0.5,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.5,0.5,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.5,0.5,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.5,0.25,"DML-IVQR",50,0,0,0,0,5,6,0
1000,0.5,0.25,"Full-GMM",50,0,0,0,0,13,8,1
1000,0.5,0.25,"Oracle-GMM",50,0,0,0,0,9,3,1
1000,0.5,0.1,"DML-IVQR",50,0,0,0,3,33,43,14
1000,0.5,0.1,"Full-GMM",50,0,0,0,2,37,40,9
1000,0.5,0.1,"Oracle-GMM",50,0,0,0,1,40,36,15
1000,0.75,1,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.75,1,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.75,1,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.75,0.5,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.75,0.5,"Full-GMM",50,0,0,0,0,1,0,0
1000,0.75,0.5,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.75,0.25,"DML-IVQR",50,0,0,0,0,12,13,1
1000,0.75,0.25,"Full-GMM",50,0,0,0,0,18,13,2
1000,0.75,0.25,"Oracle-GMM",50,0,0,0,1,18,9,1
1000,0.75,0.1,"DML-IVQR",50,0,0,0,2,32,43,15
1000,0.75,0.1,"Full-GMM",50,0,0,0,2,38,45,10
1000,0.75,0.1,"Oracle-GMM",50,0,0,0,3,38,42,14
1000,0.9,1,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.9,1,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.9,1,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.9,0.5,"DML-IVQR",50,0,0,0,0,4,1,0
1000,0.9,0.5,"Full-GMM",50,0,0,0,0,12,12,0
1000,0.9,0.5,"Oracle-GMM",50,0,0,0,0,8,5,0
1000,0.9,0.25,"DML-IVQR",50,0,0,0,1,24,28,6
1000,0.9,0.25,"Full-GMM",50,0,0,0,2,36,37,4
1000,0.9,0.25,"Oracle-GMM",50,0,0,0,1,35,23,3
1000,0.9,0.1,"DML-IVQR",50,0,0,0,1,39,45,19
1000,0.9,0.1,"Full-GMM",50,0,0,0,6,44,47,11
1000,0.9,0.1,"Oracle-GMM",50,0,0,0,5,42,46,20
