"n","tau","kappa","estimator","mean_bias","MAE","RMSE","coverage","rejection_at_truth","MCSE_coverage","MCSE_size","mean_CR_length","median_CR_length","proportion_CR_all_A","proportion_CR_left_boundary","proportion_CR_right_boundary","point_left_boundary_rate","point_right_boundary_rate","successful_replications","failed_replications"
500,0.5,0.25,"Full-GMM",-0.0279999999999999,0.64,0.859534757877772,0.92,0.08,0.0383666521865017,0.0383666521865018,3.147,3.3375,0.12,0.68,0.56,0.02,0.02,50,0
500,0.5,0.25,"Oracle-GMM",-0.0699999999999999,0.498,0.693541635375988,0.92,0.08,0.0383666521865017,0.0383666521865018,2.811,2.875,0.12,0.58,0.46,0.02,0,50,0
500,0.5,0.1,"DML-IVQR",0.13,0.762,0.993680028983173,0.94,0.06,0.0335857112474933,0.0335857112474933,3.6715,3.95,0.46,0.82,0.96,0.02,0.08,50,0
500,0.5,0.1,"Full-GMM",-0.14,0.924,1.10399275359941,0.96,0.04,0.027712812921102,0.027712812921102,3.67,3.85,0.34,0.96,0.88,0,0.02,50,0
500,0.5,0.1,"Oracle-GMM",0.0200000000000001,0.752,0.962288937897553,0.9,0.1,0.0424264068711928,0.0424264068711929,3.659,3.95,0.48,0.92,0.84,0.02,0,50,0
500,0.75,1,"DML-IVQR",-0.154489750196081,0.160612210149022,0.192528135387137,0.74,0.26,0.0620322496770833,0.0620322496770833,0.481,0.45,0,0,0,0,0,50,0
500,0.75,1,"Full-GMM",-0.264489750196081,0.283632620141179,0.340080619792992,0.84,0.16,0.0518459255872629,0.0518459255872629,0.89,0.8,0,0,0,0,0,50,0
500,0.75,1,"Oracle-GMM",-0.0404897501960815,0.0939183600313731,0.112620690243583,0.92,0.08,0.0383666521865017,0.0383666521865018,0.503,0.475,0,0,0,0,0,50,0
500,0.75,0.5,"DML-IVQR",-0.114489750196081,0.216857130054903,0.292417343705809,1,0,0,0,1.4055,1.2,0,0.04,0.06,0,0,50,0
500,0.75,0.5,"Full-GMM",-0.332489750196081,0.464734670101962,0.618858169523076,0.9,0.1,0.0424264068711928,0.0424264068711929,2.359,2.4875,0,0.28,0.2,0,0,50,0
500,0.75,0.5,"Oracle-GMM",-0.0704897501960814,0.178979590007843,0.238647867961786,0.98,0.02,0.0197989898732233,0.0197989898732233,1.522,1.275,0,0.12,0.04,0,0,50,0
500,0.75,0.25,"DML-IVQR",-0.162489750196081,0.489959180015687,0.698755263964992,1,0,0,0,3.054,3.15,0.22,0.56,0.72,0,0.04,50,0
500,0.75,0.25,"Full-GMM",-0.560489750196081,0.875795900078433,1.06702987777984,0.92,0.08,0.0383666521865017,0.0383666521865018,3.389,3.55,0.14,0.72,0.68,0.02,0.02,50,0
500,0.75,0.25,"Oracle-GMM",-0.300489750196081,0.520897950039216,0.73281518131989,0.98,0.02,0.0197989898732233,0.0197989898732233,3.1385,3.375,0.18,0.76,0.54,0,0,50,0
500,0.75,0.1,"DML-IVQR",-0.172489750196081,0.755020409992157,0.994157288321474,1,0,0,0,3.596,3.95,0.44,0.84,0.88,0.02,0.04,50,0
500,0.75,0.1,"Full-GMM",-0.486489750196081,0.910897950039216,1.14338457093222,0.98,0.02,0.0197989898732233,0.0197989898732233,3.662,3.9,0.26,0.86,0.86,0,0,50,0
500,0.75,0.1,"Oracle-GMM",-0.506489750196081,0.846897950039216,1.12672439711479,0.98,0.02,0.0197989898732233,0.0197989898732233,3.6545,3.95,0.48,0.9,0.84,0.02,0.02,50,0
500,0.9,1,"DML-IVQR",-0.253551565544601,0.254289502922817,0.288971272603555,0.64,0.36,0.0678822509939086,0.0678822509939086,0.752,0.7,0,0,0,0,0,50,0
500,0.9,1,"Full-GMM",-0.769551565544601,0.770289502922817,0.935342510544745,0.42,0.58,0.0697997134664606,0.0697997134664606,2.067,2.125,0,0.18,0.1,0,0,50,0
500,0.9,1,"Oracle-GMM",-0.151551565544601,0.195358563596056,0.242214526853819,0.94,0.06,0.0335857112474933,0.0335857112474933,1.073,0.95,0,0,0,0,0,50,0
500,0.9,0.5,"DML-IVQR",-0.271551565544601,0.319668876704976,0.48973488006239,0.94,0.06,0.0335857112474933,0.0335857112474933,2.413,2.4625,0,0.28,0.28,0,0,50,0
500,0.9,0.5,"Full-GMM",-0.927551565544601,1.03166887670498,1.3341798629661,0.94,0.06,0.0335857112474933,0.0335857112474933,3.2745,3.3,0,0.7,0.48,0,0.02,50,0
500,0.9,0.5,"Oracle-GMM",-0.419551565544601,0.49462062621784,0.871309081871023,0.96,0.04,0.027712812921102,0.027712812921102,2.9475,3.275,0.08,0.58,0.28,0.02,0,50,0
500,0.9,0.25,"DML-IVQR",-0.541551565544601,0.67662062621784,1.07204388816121,0.94,0.06,0.0335857112474933,0.0335857112474933,3.5215,3.8375,0.34,0.82,0.76,0,0.02,50,0
500,0.9,0.25,"Full-GMM",-1.1795515655446,1.34440681408319,1.65805244059973,0.82,0.18,0.0543323108288245,0.0543323108288245,3.6745,3.775,0.04,0.96,0.78,0.02,0.02,50,0
500,0.9,0.25,"Oracle-GMM",-0.859551565544601,0.96693093932676,1.28660207283766,0.98,0.02,0.0197989898732233,0.0197989898732233,3.698,3.925,0.42,0.9,0.78,0,0,50,0
500,0.9,0.1,"DML-IVQR",-0.761551565544601,0.96862062621784,1.35054092384623,0.96,0.04,0.027712812921102,0.027712812921102,3.6855,4,0.54,0.88,0.9,0.02,0.04,50,0
500,0.9,0.1,"Full-GMM",-1.2575515655446,1.42314475146141,1.77878046425175,0.96,0.04,0.027712812921102,0.027712812921102,3.7545,3.8625,0.12,0.94,0.88,0.04,0,50,0
500,0.9,0.1,"Oracle-GMM",-0.859551565544601,1.09388268883962,1.4840973330042,0.98,0.02,0.0197989898732233,0.0197989898732233,3.8555,4,0.6,0.98,0.92,0.02,0.04,50,0
1000,0.1,1,"DML-IVQR",0.0295515655446009,0.0974758747564319,0.128721773706459,0.96,0.04,0.027712812921102,0.027712812921102,0.636,0.625,0,0,0,0,0,50,0
1000,0.1,1,"Full-GMM",0.363551565544601,0.364289502922817,0.401554156758376,0.36,0.64,0.0678822509939086,0.0678822509939086,0.747,0.75,0,0,0,0,0,50,0
1000,0.1,1,"Oracle-GMM",0.0815515655446009,0.110406814083192,0.130578167557886,0.76,0.24,0.060398675482166,0.060398675482166,0.359,0.35,0,0,0,0,0,50,0
1000,0.1,0.5,"DML-IVQR",0.193551565544601,0.329048250487136,0.624274145327809,0.92,0.08,0.0383666521865017,0.0383666521865018,2.15,1.95,0,0.06,0.3,0,0.02,50,0
1000,0.1,0.5,"Full-GMM",0.483551565544601,0.497765377679249,0.737846946555066,0.84,0.16,0.0518459255872629,0.0518459255872629,1.8485,1.675,0,0.14,0.08,0,0,50,0
1000,0.1,0.5,"Oracle-GMM",0.113551565544601,0.178096500974272,0.229499363915523,0.92,0.08,0.0383666521865017,0.0383666521865018,1.146,0.95,0,0,0.04,0,0,50,0
1000,0.1,0.25,"DML-IVQR",0.631551565544601,0.740406814083193,1.06965292499102,0.9,0.1,0.0424264068711928,0.0424264068711929,3.4995,3.6,0.22,0.46,0.88,0,0,50,0
1000,0.1,0.25,"Full-GMM",0.719551565544601,0.794930939326761,1.05627196094457,0.92,0.08,0.0383666521865017,0.0383666521865018,3.2895,3.35,0.04,0.62,0.72,0,0,50,0
1000,0.1,0.25,"Oracle-GMM",0.423551565544601,0.523358563596056,0.836081293102102,0.94,0.06,0.0335857112474933,0.0335857112474933,2.922,3.35,0.14,0.58,0.54,0,0,50,0
1000,0.1,0.1,"DML-IVQR",0.873551565544601,1.00566887670498,1.36081899518835,0.92,0.08,0.0383666521865017,0.0383666521865018,3.802,3.95,0.46,0.84,0.96,0.02,0,50,0
1000,0.1,0.1,"Full-GMM",1.1295515655446,1.24745506457033,1.55562937077707,0.88,0.12,0.0459565011723042,0.0459565011723042,3.7695,3.85,0.22,0.86,0.96,0.04,0,50,0
1000,0.1,0.1,"Oracle-GMM",0.717551565544601,0.890096500974272,1.30949770874771,0.92,0.08,0.0383666521865017,0.0383666521865018,3.7225,3.9,0.42,0.88,0.9,0.02,0.06,50,0
1000,0.25,1,"DML-IVQR",-0.0375102498039182,0.0812653298980375,0.102288898910646,0.9,0.1,0.0424264068711928,0.0424264068711929,0.338,0.35,0,0,0,0,0,50,0
