"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
1000,0.1,0.25,"Oracle-GMM",-0.25,0.144,0.0157012101444443,500,0
1000,0.1,0.25,"Oracle-GMM",0.25,0.058,0.0104533248299285,500,0
1000,0.1,0.25,"Oracle-GMM",0.5,0.102,0.0135348439222623,500,0
1000,0.1,0.1,"DML-IVQR",-0.5,0.108,0.0138806339912844,500,0
1000,0.1,0.1,"DML-IVQR",-0.25,0.078,0.0119929979571415,500,0
1000,0.1,0.1,"DML-IVQR",0.25,0.044,0.00917213170424411,500,0
1000,0.1,0.1,"DML-IVQR",0.5,0.036,0.0083311463797007,500,0
1000,0.1,0.1,"Full-GMM",-0.5,0.108,0.0138806339912844,500,0
1000,0.1,0.1,"Full-GMM",-0.25,0.066,0.0111035129576184,500,0
1000,0.1,0.1,"Full-GMM",0.25,0.044,0.00917213170424411,500,0
1000,0.1,0.1,"Full-GMM",0.5,0.054,0.0101078187557949,500,0
1000,0.1,0.1,"Oracle-GMM",-0.5,0.08,0.0121326007104825,500,0
1000,0.1,0.1,"Oracle-GMM",-0.25,0.064,0.0109456840809517,500,0
1000,0.1,0.1,"Oracle-GMM",0.25,0.048,0.00955991631762538,500,0
1000,0.1,0.1,"Oracle-GMM",0.5,0.05,0.00974679434480896,500,0
1000,0.25,1,"DML-IVQR",-0.5,1,0,500,0
1000,0.25,1,"DML-IVQR",-0.25,0.796,0.0180213207063189,500,0
1000,0.25,1,"DML-IVQR",0.25,0.818,0.0172554918793989,500,0
1000,0.25,1,"DML-IVQR",0.5,0.992,0.0039839678713564,500,0
1000,0.25,1,"Full-GMM",-0.5,1,0,500,0
1000,0.25,1,"Full-GMM",-0.25,0.912,0.0126693330526907,500,0
1000,0.25,1,"Full-GMM",0.25,0.21,0.018215378118502,500,0
1000,0.25,1,"Full-GMM",0.5,0.902,0.0132963152790538,500,0
1000,0.25,1,"Oracle-GMM",-0.5,1,0,500,0
1000,0.25,1,"Oracle-GMM",-0.25,0.984,0.00561141693336006,500,0
1000,0.25,1,"Oracle-GMM",0.25,0.884,0.0143208938268531,500,0
1000,0.25,1,"Oracle-GMM",0.5,1,0,500,0
