"rep_id","rep_seed","n","tau","kappa","estimator","delta","alpha_false","W_false","rejected_false","status"
1,20260821,1000,0.1,1,"DML-IVQR",-0.5,-0.781551565544601,44.5164261595728,TRUE,"OK"
1,20260821,1000,0.1,1,"DML-IVQR",-0.25,-0.531551565544601,28.7716182065303,TRUE,"OK"
1,20260821,1000,0.1,1,"DML-IVQR",0.25,-0.0315515655446008,2.16535475761313,FALSE,"OK"
1,20260821,1000,0.1,1,"DML-IVQR",0.5,0.218448434455399,5.97857771555156,FALSE,"OK"
1,20260821,1000,0.1,1,"Full-GMM",-0.5,-0.781551565544601,61.7998087881158,TRUE,"OK"
1,20260821,1000,0.1,1,"Full-GMM",-0.25,-0.531551565544601,30.0282652491589,TRUE,"OK"
1,20260821,1000,0.1,1,"Full-GMM",0.25,-0.0315515655446008,0.284864286571231,FALSE,"OK"
1,20260821,1000,0.1,1,"Full-GMM",0.5,0.218448434455399,0.208735437044109,FALSE,"OK"
1,20260821,1000,0.1,1,"Oracle-GMM",-0.5,-0.781551565544601,52.1936525404118,TRUE,"OK"
1,20260821,1000,0.1,1,"Oracle-GMM",-0.25,-0.531551565544601,45.6637057833014,TRUE,"OK"
1,20260821,1000,0.1,1,"Oracle-GMM",0.25,-0.0315515655446008,0.130102106200704,FALSE,"OK"
1,20260821,1000,0.1,1,"Oracle-GMM",0.5,0.218448434455399,5.9306562915202,FALSE,"OK"
1,20260821,1000,0.1,0.5,"DML-IVQR",-0.5,-0.781551565544601,26.8928584687816,TRUE,"OK"
1,20260821,1000,0.1,0.5,"DML-IVQR",-0.25,-0.531551565544601,26.3421705797238,TRUE,"OK"
1,20260821,1000,0.1,0.5,"DML-IVQR",0.25,-0.0315515655446008,0.846569493987507,FALSE,"OK"
1,20260821,1000,0.1,0.5,"DML-IVQR",0.5,0.218448434455399,0.0094080464011694,FALSE,"OK"
1,20260821,1000,0.1,0.5,"Full-GMM",-0.5,-0.781551565544601,24.7639658397179,TRUE,"OK"
1,20260821,1000,0.1,0.5,"Full-GMM",-0.25,-0.531551565544601,33.5239539626938,TRUE,"OK"
1,20260821,1000,0.1,0.5,"Full-GMM",0.25,-0.0315515655446008,7.17287728557637,TRUE,"OK"
