"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
500,0.25,0.25,"Full-GMM",0.5,0.042,0.00897061870775924,500,0
500,0.25,0.25,"Oracle-GMM",-0.5,0.204,0.0180213207063189,500,0
500,0.25,0.25,"Oracle-GMM",-0.25,0.118,0.0144274737913468,500,0
500,0.25,0.25,"Oracle-GMM",0.25,0.086,0.0125382614424808,500,0
500,0.25,0.25,"Oracle-GMM",0.5,0.106,0.0137669168661687,500,0
500,0.25,0.1,"DML-IVQR",-0.5,0.118,0.0144274737913468,500,0
500,0.25,0.1,"DML-IVQR",-0.25,0.058,0.0104533248299285,500,0
500,0.25,0.1,"DML-IVQR",0.25,0.056,0.0102824121683582,500,0
500,0.25,0.1,"DML-IVQR",0.5,0.042,0.00897061870775924,500,0
500,0.25,0.1,"Full-GMM",-0.5,0.066,0.0111035129576184,500,0
500,0.25,0.1,"Full-GMM",-0.25,0.072,0.0115599307956406,500,0
500,0.25,0.1,"Full-GMM",0.25,0.044,0.00917213170424411,500,0
500,0.25,0.1,"Full-GMM",0.5,0.042,0.00897061870775924,500,0
500,0.25,0.1,"Oracle-GMM",-0.5,0.074,0.0117067501895274,500,0
500,0.25,0.1,"Oracle-GMM",-0.25,0.066,0.0111035129576184,500,0
500,0.25,0.1,"Oracle-GMM",0.25,0.05,0.00974679434480896,500,0
500,0.25,0.1,"Oracle-GMM",0.5,0.06,0.0106207344378814,500,0
500,0.5,1,"DML-IVQR",-0.5,0.954,0.00936845771725528,500,0
500,0.5,1,"DML-IVQR",-0.25,0.388,0.0217924757657316,500,0
500,0.5,1,"DML-IVQR",0.25,0.694,0.0206089301032344,500,0
500,0.5,1,"DML-IVQR",0.5,0.986,0.00525433154644813,500,0
500,0.5,1,"Full-GMM",-0.5,0.83,0.016798809481627,500,0
500,0.5,1,"Full-GMM",-0.25,0.316,0.020791536739741,500,0
500,0.5,1,"Full-GMM",0.25,0.314,0.0207559148196364,500,0
500,0.5,1,"Full-GMM",0.5,0.822,0.0171064899964896,500,0
500,0.5,1,"Oracle-GMM",-0.5,0.992,0.0039839678713564,500,0
500,0.5,1,"Oracle-GMM",-0.25,0.678,0.0208957411928843,500,0
500,0.5,1,"Oracle-GMM",0.25,0.724,0.0199911980631477,500,0
500,0.5,1,"Oracle-GMM",0.5,1,0,500,0
500,0.5,0.5,"DML-IVQR",-0.5,0.486,0.0223519126698366,500,0
500,0.5,0.5,"DML-IVQR",-0.25,0.174,0.0169542914921267,500,0
500,0.5,0.5,"DML-IVQR",0.25,0.146,0.015791390059143,500,0
500,0.5,0.5,"DML-IVQR",0.5,0.382,0.0217290588843604,500,0
500,0.5,0.5,"Full-GMM",-0.5,0.25,0.0193649167310371,500,0
500,0.5,0.5,"Full-GMM",-0.25,0.118,0.0144274737913468,500,0
500,0.5,0.5,"Full-GMM",0.25,0.102,0.0135348439222623,500,0
500,0.5,0.5,"Full-GMM",0.5,0.298,0.0204546327270865,500,0
