"n","tau","kappa","estimator","mean_signed_error","Bias","MAE","RMSE","coverage","size_null_rejection_rate","MCSE_coverage","median_accepted_set_measure_A","mean_accepted_set_measure_A","full_A_acceptance_rate","left_CR_boundary_contact_rate","right_CR_boundary_contact_rate","point_left_boundary_rate","point_right_boundary_rate","numerical_failure_rate","successful_replications","failed_replications"
500,0.5,1,"Full-GMM",0.0024000000000001,-0.0024000000000001,0.1368,0.174585222742362,0.95,0.05,0.00974679434480897,0.7,0.6763,0,0,0,0,0,0,500,0
500,0.5,1,"Oracle-GMM",0.00320000000000007,-0.00320000000000007,0.0776,0.10295630140987,0.914,0.086,0.0125382614424808,0.4,0.3758,0,0,0,0,0,0,500,0
500,0.5,0.5,"DML-IVQR",-0.0135999999999999,0.0135999999999999,0.1948,0.264801812682617,0.948,0.052,0.00992935043192656,1.25,1.32565,0,0.014,0.056,0,0,0,500,0
500,0.5,0.5,"Full-GMM",-0.0199999999999999,0.0199999999999999,0.2808,0.386884995832095,0.932,0.068,0.0112584190719657,1.7,1.7328,0,0.098,0.046,0,0,0,500,0
500,0.5,0.5,"Oracle-GMM",-0.00439999999999989,0.00439999999999989,0.1756,0.244785620492708,0.944,0.056,0.0102824121683582,1,1.1056,0,0.026,0.014,0,0,0,500,0
500,0.5,0.25,"DML-IVQR",0.1528,-0.1528,0.5188,0.703988636271922,0.952,0.048,0.00955991631762538,3,2.9953,0.152,0.39,0.77,0,0.006,0,500,0
500,0.5,0.25,"Full-GMM",-0.0233999999999999,0.0233999999999999,0.6498,0.847218979957366,0.956,0.044,0.00917213170424412,3.3875,3.211,0.09,0.658,0.602,0.012,0.012,0,500,0
500,0.5,0.25,"Oracle-GMM",-0.0133999999999999,0.0133999999999999,0.4666,0.652150289427215,0.954,0.046,0.00936845771725528,2.95,2.88135,0.148,0.558,0.488,0.004,0.006,0,500,0
500,0.5,0.1,"DML-IVQR",0.1954,-0.1954,0.8598,1.05929221652951,0.956,0.044,0.00917213170424412,3.95,3.65245,0.488,0.826,0.944,0.014,0.036,0,500,0
500,0.5,0.1,"Full-GMM",-0.0345999999999999,0.0345999999999999,0.947,1.12385942181396,0.94,0.06,0.0106207344378814,3.9,3.7092,0.386,0.894,0.886,0.022,0.03,0,500,0
500,0.5,0.1,"Oracle-GMM",-0.0127999999999999,0.0127999999999999,0.8456,1.05181747465993,0.968,0.032,0.00787095928079926,3.95,3.68355,0.476,0.9,0.89,0.032,0.038,0,500,0
500,0.75,1,"DML-IVQR",-0.130289750196081,0.130289750196081,0.148877522123923,0.177881362166353,0.78,0.22,0.0185256578830551,0.5,0.4898,0,0,0,0,0,0,500,0
500,0.75,1,"Full-GMM",-0.211489750196081,0.211489750196081,0.24758364512157,0.30301636001708,0.852,0.148,0.0158805541465026,0.95,0.9715,0,0,0,0,0,0,500,0
500,0.75,1,"Oracle-GMM",-0.0396897501960815,0.0396897501960815,0.0993469340203925,0.124435671214597,0.906,0.094,0.0130509769749241,0.45,0.4889,0,0,0,0,0,0,500,0
500,0.75,0.5,"DML-IVQR",-0.120089750196081,0.120089750196081,0.237861212053334,0.348514258104539,0.936,0.064,0.0109456840809517,1.3,1.4698,0,0.048,0.072,0.002,0,0,500,0
500,0.75,0.5,"Full-GMM",-0.288089750196081,0.288089750196081,0.425293859079217,0.584269410604424,0.918,0.082,0.0122699633251286,2.3,2.35085,0,0.27,0.128,0,0,0,500,0
500,0.75,0.5,"Oracle-GMM",-0.0990897501960814,0.0990897501960814,0.23073877002353,0.34356021101682,0.956,0.044,0.00917213170424412,1.45,1.64835,0,0.16,0.03,0,0,0,500,0
