"n","tau","kappa","estimator","Delta","total_replications","successful_power_evaluations","failed_power_evaluations","power","false_acceptance","numerical_failures"
500,0.25,0.1,"Full-GMM",-0.5,500,500,0,0.068,0.932,0
500,0.5,0.1,"Full-GMM",-0.5,500,500,0,0.088,0.912,0
500,0.75,0.1,"Full-GMM",-0.5,500,500,0,0.052,0.948,0
500,0.9,0.1,"Full-GMM",-0.5,500,500,0,0.032,0.968,0
500,0.1,0.25,"Full-GMM",-0.5,500,500,0,0.134,0.866,0
500,0.25,0.25,"Full-GMM",-0.5,500,500,0,0.184,0.816,0
500,0.5,0.25,"Full-GMM",-0.5,500,500,0,0.094,0.906,0
500,0.75,0.25,"Full-GMM",-0.5,500,500,0,0.036,0.964,0
500,0.9,0.25,"Full-GMM",-0.5,500,500,0,0.038,0.962,0
500,0.1,0.5,"Full-GMM",-0.5,500,500,0,0.438,0.562,0
500,0.25,0.5,"Full-GMM",-0.5,500,500,0,0.448,0.552,0
500,0.5,0.5,"Full-GMM",-0.5,500,500,0,0.26,0.74,0
500,0.75,0.5,"Full-GMM",-0.5,500,500,0,0.058,0.942,0
500,0.9,0.5,"Full-GMM",-0.5,500,500,0,0.048,0.952,0
500,0.1,1,"Full-GMM",-0.5,500,500,0,0.898,0.102,0
500,0.25,1,"Full-GMM",-0.5,500,500,0,0.928,0.072,0
500,0.5,1,"Full-GMM",-0.5,500,500,0,0.79,0.21,0
500,0.75,1,"Full-GMM",-0.5,500,500,0,0.202,0.798,0
500,0.9,1,"Full-GMM",-0.5,500,500,0,0.068,0.932,0
500,0.1,0.1,"DML-IVQR-BC",-0.5,500,500,0,0.136,0.864,0
500,0.25,0.1,"DML-IVQR-BC",-0.5,500,500,0,0.114,0.886,0
500,0.5,0.1,"DML-IVQR-BC",-0.5,500,500,0,0.104,0.896,0
500,0.75,0.1,"DML-IVQR-BC",-0.5,500,500,0,0.076,0.924,0
500,0.9,0.1,"DML-IVQR-BC",-0.5,500,500,0,0.064,0.936,0
500,0.1,0.25,"DML-IVQR-BC",-0.5,500,500,0,0.224,0.776,0
500,0.25,0.25,"DML-IVQR-BC",-0.5,500,500,0,0.214,0.786,0
500,0.5,0.25,"DML-IVQR-BC",-0.5,500,500,0,0.168,0.832,0
500,0.75,0.25,"DML-IVQR-BC",-0.5,500,500,0,0.112,0.888,0
500,0.9,0.25,"DML-IVQR-BC",-0.5,500,500,0,0.086,0.914,0
500,0.1,0.5,"DML-IVQR-BC",-0.5,500,500,0,0.406,0.594,0
500,0.25,0.5,"DML-IVQR-BC",-0.5,500,500,0,0.53,0.47,0
500,0.5,0.5,"DML-IVQR-BC",-0.5,500,500,0,0.466,0.534,0
500,0.75,0.5,"DML-IVQR-BC",-0.5,500,500,0,0.284,0.716,0
500,0.9,0.5,"DML-IVQR-BC",-0.5,500,500,0,0.102,0.898,0
500,0.1,1,"DML-IVQR-BC",-0.5,500,500,0,0.744,0.256,0
500,0.25,1,"DML-IVQR-BC",-0.5,500,500,0,0.94,0.06,0
500,0.5,1,"DML-IVQR-BC",-0.5,500,500,0,0.962,0.038,0
500,0.75,1,"DML-IVQR-BC",-0.5,500,500,0,0.754,0.246,0
500,0.9,1,"DML-IVQR-BC",-0.5,500,500,0,0.262,0.738,0
500,0.1,0.1,"Oracle-GMM",-0.25,500,500,0,0.062,0.938,0
500,0.25,0.1,"Oracle-GMM",-0.25,500,500,0,0.07,0.93,0
500,0.5,0.1,"Oracle-GMM",-0.25,500,500,0,0.068,0.932,0
500,0.75,0.1,"Oracle-GMM",-0.25,500,500,0,0.05,0.95,0
500,0.9,0.1,"Oracle-GMM",-0.25,500,500,0,0.032,0.968,0
500,0.1,0.25,"Oracle-GMM",-0.25,500,500,0,0.112,0.888,0
500,0.25,0.25,"Oracle-GMM",-0.25,500,500,0,0.106,0.894,0
500,0.5,0.25,"Oracle-GMM",-0.25,500,500,0,0.096,0.904,0
500,0.75,0.25,"Oracle-GMM",-0.25,500,500,0,0.06,0.94,0
500,0.9,0.25,"Oracle-GMM",-0.25,500,500,0,0.042,0.958,0
500,0.1,0.5,"Oracle-GMM",-0.25,500,500,0,0.292,0.708,0
500,0.25,0.5,"Oracle-GMM",-0.25,500,500,0,0.33,0.67,0
500,0.5,0.5,"Oracle-GMM",-0.25,500,500,0,0.23,0.77,0
500,0.75,0.5,"Oracle-GMM",-0.25,500,500,0,0.124,0.876,0
500,0.9,0.5,"Oracle-GMM",-0.25,500,500,0,0.052,0.948,0
500,0.1,1,"Oracle-GMM",-0.25,500,500,0,0.694,0.306,0
500,0.25,1,"Oracle-GMM",-0.25,500,500,0,0.818,0.182,0
500,0.5,1,"Oracle-GMM",-0.25,500,500,0,0.73,0.27,0
500,0.75,1,"Oracle-GMM",-0.25,500,500,0,0.366,0.634,0
500,0.9,1,"Oracle-GMM",-0.25,500,500,0,0.096,0.904,0
500,0.1,0.1,"Full-GMM",-0.25,500,500,0,0.072,0.928,0
500,0.25,0.1,"Full-GMM",-0.25,500,500,0,0.078,0.922,0
500,0.5,0.1,"Full-GMM",-0.25,500,500,0,0.064,0.936,0
500,0.75,0.1,"Full-GMM",-0.25,500,500,0,0.042,0.958,0
500,0.9,0.1,"Full-GMM",-0.25,500,500,0,0.042,0.958,0
500,0.1,0.25,"Full-GMM",-0.25,500,500,0,0.106,0.894,0
500,0.25,0.25,"Full-GMM",-0.25,500,500,0,0.12,0.88,0
500,0.5,0.25,"Full-GMM",-0.25,500,500,0,0.08,0.92,0
500,0.75,0.25,"Full-GMM",-0.25,500,500,0,0.04,0.96,0
500,0.9,0.25,"Full-GMM",-0.25,500,500,0,0.05,0.95,0
500,0.1,0.5,"Full-GMM",-0.25,500,500,0,0.31,0.69,0
500,0.25,0.5,"Full-GMM",-0.25,500,500,0,0.242,0.758,0
500,0.5,0.5,"Full-GMM",-0.25,500,500,0,0.122,0.878,0
500,0.75,0.5,"Full-GMM",-0.25,500,500,0,0.04,0.96,0
500,0.9,0.5,"Full-GMM",-0.25,500,500,0,0.072,0.928,0
500,0.1,1,"Full-GMM",-0.25,500,500,0,0.77,0.23,0
500,0.25,1,"Full-GMM",-0.25,500,500,0,0.692,0.308,0
500,0.5,1,"Full-GMM",-0.25,500,500,0,0.312,0.688,0
500,0.75,1,"Full-GMM",-0.25,500,500,0,0.034,0.966,0
500,0.9,1,"Full-GMM",-0.25,500,500,0,0.186,0.814,0
500,0.1,0.1,"DML-IVQR-BC",-0.25,500,500,0,0.1,0.9,0
500,0.25,0.1,"DML-IVQR-BC",-0.25,500,500,0,0.072,0.928,0
500,0.5,0.1,"DML-IVQR-BC",-0.25,500,500,0,0.066,0.934,0
500,0.75,0.1,"DML-IVQR-BC",-0.25,500,500,0,0.056,0.944,0
500,0.9,0.1,"DML-IVQR-BC",-0.25,500,500,0,0.056,0.944,0
500,0.1,0.25,"DML-IVQR-BC",-0.25,500,500,0,0.116,0.884,0
500,0.25,0.25,"DML-IVQR-BC",-0.25,500,500,0,0.098,0.902,0
500,0.5,0.25,"DML-IVQR-BC",-0.25,500,500,0,0.094,0.906,0
500,0.75,0.25,"DML-IVQR-BC",-0.25,500,500,0,0.07,0.93,0
500,0.9,0.25,"DML-IVQR-BC",-0.25,500,500,0,0.064,0.936,0
500,0.1,0.5,"DML-IVQR-BC",-0.25,500,500,0,0.174,0.826,0
500,0.25,0.5,"DML-IVQR-BC",-0.25,500,500,0,0.17,0.83,0
500,0.5,0.5,"DML-IVQR-BC",-0.25,500,500,0,0.156,0.844,0
500,0.75,0.5,"DML-IVQR-BC",-0.25,500,500,0,0.088,0.912,0
500,0.9,0.5,"DML-IVQR-BC",-0.25,500,500,0,0.054,0.946,0
500,0.1,1,"DML-IVQR-BC",-0.25,500,500,0,0.262,0.738,0
500,0.25,1,"DML-IVQR-BC",-0.25,500,500,0,0.402,0.598,0
500,0.5,1,"DML-IVQR-BC",-0.25,500,500,0,0.398,0.602,0
500,0.75,1,"DML-IVQR-BC",-0.25,500,500,0,0.16,0.84,0
500,0.9,1,"DML-IVQR-BC",-0.25,500,500,0,0.072,0.928,0
500,0.1,0.1,"Oracle-GMM",0.25,500,500,0,0.052,0.948,0
500,0.25,0.1,"Oracle-GMM",0.25,500,500,0,0.066,0.934,0
500,0.5,0.1,"Oracle-GMM",0.25,500,500,0,0.066,0.934,0
500,0.75,0.1,"Oracle-GMM",0.25,500,500,0,0.072,0.928,0
500,0.9,0.1,"Oracle-GMM",0.25,500,500,0,0.058,0.942,0
500,0.1,0.25,"Oracle-GMM",0.25,500,500,0,0.05,0.95,0
500,0.25,0.25,"Oracle-GMM",0.25,500,500,0,0.072,0.928,0
500,0.5,0.25,"Oracle-GMM",0.25,500,500,0,0.09,0.91,0
500,0.75,0.25,"Oracle-GMM",0.25,500,500,0,0.112,0.888,0
