"n","tau","kappa","estimator","Delta","total_replications","successful_power_evaluations","failed_power_evaluations","power","false_acceptance","numerical_failures"
1000,0.1,0.1,"Oracle-GMM",-1,500,500,0,0.132,0.868,0
1000,0.25,0.1,"Oracle-GMM",-1,500,500,0,0.17,0.83,0
1000,0.5,0.1,"Oracle-GMM",-1,500,500,0,0.12,0.88,0
1000,0.75,0.1,"Oracle-GMM",-1,500,500,0,0.088,0.912,0
1000,0.9,0.1,"Oracle-GMM",-1,500,500,0,0.08,0.92,0
1000,0.1,0.25,"Oracle-GMM",-1,500,500,0,0.526,0.474,0
1000,0.25,0.25,"Oracle-GMM",-1,500,500,0,0.61,0.39,0
1000,0.5,0.25,"Oracle-GMM",-1,500,500,0,0.54,0.46,0
1000,0.75,0.25,"Oracle-GMM",-1,500,500,0,0.286,0.714,0
1000,0.9,0.25,"Oracle-GMM",-1,500,500,0,0.144,0.856,0
1000,0.1,0.5,"Oracle-GMM",-1,500,500,0,0.988,0.012,0
1000,0.25,0.5,"Oracle-GMM",-1,500,500,0,0.998,0.002,0
1000,0.5,0.5,"Oracle-GMM",-1,500,500,0,0.986,0.014,0
1000,0.75,0.5,"Oracle-GMM",-1,500,500,0,0.828,0.172,0
1000,0.9,0.5,"Oracle-GMM",-1,500,500,0,0.426,0.574,0
1000,0.1,1,"Oracle-GMM",-1,500,500,0,1,0,0
1000,0.25,1,"Oracle-GMM",-1,500,500,0,1,0,0
1000,0.5,1,"Oracle-GMM",-1,500,500,0,1,0,0
1000,0.75,1,"Oracle-GMM",-1,500,500,0,1,0,0
1000,0.9,1,"Oracle-GMM",-1,500,500,0,0.972,0.028,0
1000,0.1,0.1,"Full-GMM",-1,500,500,0,0.096,0.904,0
1000,0.25,0.1,"Full-GMM",-1,500,500,0,0.126,0.874,0
1000,0.5,0.1,"Full-GMM",-1,500,500,0,0.112,0.888,0
1000,0.75,0.1,"Full-GMM",-1,500,500,0,0.07,0.93,0
1000,0.9,0.1,"Full-GMM",-1,500,500,0,0.052,0.948,0
1000,0.1,0.25,"Full-GMM",-1,500,500,0,0.392,0.608,0
1000,0.25,0.25,"Full-GMM",-1,500,500,0,0.512,0.488,0
1000,0.5,0.25,"Full-GMM",-1,500,500,0,0.43,0.57,0
1000,0.75,0.25,"Full-GMM",-1,500,500,0,0.192,0.808,0
1000,0.9,0.25,"Full-GMM",-1,500,500,0,0.066,0.934,0
1000,0.1,0.5,"Full-GMM",-1,500,500,0,0.914,0.086,0
1000,0.25,0.5,"Full-GMM",-1,500,500,0,0.986,0.014,0
1000,0.5,0.5,"Full-GMM",-1,500,500,0,0.952,0.048,0
1000,0.75,0.5,"Full-GMM",-1,500,500,0,0.654,0.346,0
1000,0.9,0.5,"Full-GMM",-1,500,500,0,0.172,0.828,0
1000,0.1,1,"Full-GMM",-1,500,500,0,1,0,0
1000,0.25,1,"Full-GMM",-1,500,500,0,1,0,0
1000,0.5,1,"Full-GMM",-1,500,500,0,1,0,0
1000,0.75,1,"Full-GMM",-1,500,500,0,1,0,0
1000,0.9,1,"Full-GMM",-1,500,500,0,0.544,0.456,0
1000,0.1,0.1,"DML-IVQR-BC",-1,500,500,0,0.242,0.758,0
1000,0.25,0.1,"DML-IVQR-BC",-1,500,500,0,0.22,0.78,0
1000,0.5,0.1,"DML-IVQR-BC",-1,500,500,0,0.154,0.846,0
1000,0.75,0.1,"DML-IVQR-BC",-1,500,500,0,0.102,0.898,0
1000,0.9,0.1,"DML-IVQR-BC",-1,500,500,0,0.096,0.904,0
1000,0.1,0.25,"DML-IVQR-BC",-1,500,500,0,0.608,0.392,0
1000,0.25,0.25,"DML-IVQR-BC",-1,500,500,0,0.688,0.312,0
