"n","kappa","median_first_stage_F","first_stage_F_p10","first_stage_F_p90","first_stage_F_sd","partial_R2_median","partial_R2_p10","partial_R2_p90","partial_R2_sd","n_success","n_failed"
500,1,101.172772514095,85.9334374468717,126.684018163193,17.2446101209529,0.293532810896645,0.260850569923273,0.342218424368253,0.0338297464734377,100,0
500,0.5,18.7070129676655,11.9923713591491,27.9467065459065,6.34359870972443,0.0713421271202085,0.0469382639363675,0.102953503898848,0.0221453395714252,100,0
500,0.25,4.73631755076948,1.74002721806241,8.64895248241352,3.01656238709771,0.0190798717319423,0.00709519961887936,0.0343008916284479,0.0117668565271462,100,0
500,0.1,1.22115280248226,0.242698647385431,3.64551030130779,1.47209001725341,0.00498997637442291,0.000995716566357122,0.0147504613223205,0.00590782201098451,100,0
1000,1,212.817262522506,185.342762973857,239.503623361133,22.4645805478326,0.301305052764305,0.273027527312124,0.326742749862149,0.0223792559742184,100,0
1000,0.5,38.6495995626611,30.1301553695089,53.6026793758833,9.27243018700568,0.0726291846703851,0.0575409029414893,0.0979755379082161,0.0160183153127192,100,0
1000,0.25,9.8501597856989,5.34350437150391,16.154508079835,4.57196730784379,0.0195691992480618,0.0107117633306343,0.0316968387802102,0.0088215956513106,100,0
1000,0.1,2.03801093077346,0.376691006676469,5.42266612904974,2.11689521327011,0.00411272340025733,0.000762721575922126,0.010868740112143,0.00421638991096484,100,0
