"n","tau","kappa","estimator","replications","median_measure_A0","median_measure_A1","median_measure_A2","mean_measure_A0","mean_measure_A1","mean_measure_A2","median_added_measure_A0_to_A1","mean_added_measure_A0_to_A1","median_added_measure_A1_to_A2","mean_added_measure_A1_to_A2","boundary_acceptance_rate_A0","boundary_acceptance_rate_A1","boundary_acceptance_rate_A2","all_grid_acceptance_rate_A0","all_grid_acceptance_rate_A1","all_grid_acceptance_rate_A2","successful_profiles_A0","successful_profiles_A1","successful_profiles_A2","failed_profiles_A0","failed_profiles_A1","failed_profiles_A2","stage1_recorded_numerical_errors","stage2_new_numerical_errors","investigated_domain_status","disconnected_components_established","interpretation_limit"
1000,0.5,0.25,"Full-GMM",100,2.25,2.4,2.55,2.368,3.1715,3.802,0.1,0.8035,0,0.6305,0.4,0.24,0.26,0.05,0.02,0.02,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.5,0.25,"DML-IVQR-BC",100,1.95,2.5,3.025,2.1245,3.02,3.9415,0.25,0.8955,0.4,0.9215,0.44,0.34,0.5,0.06,0.02,0.02,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.5,0.1,"Oracle-GMM",100,3.825,7.6,11.3,3.5205,6.64,9.687,3.9,3.1195,4,3.047,0.91,0.89,0.83,0.42,0.35,0.32,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.5,0.1,"Full-GMM",100,3.9,7.625,11.45,3.536,6.7175,9.817,3.9,3.1815,3.9,3.0995,0.94,0.89,0.85,0.45,0.32,0.28,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.5,0.1,"DML-IVQR-BC",100,3.9,7.5,10.325,3.538,6.6715,9.5855,3.85,3.1335,2.85,2.914,0.9,0.93,0.96,0.45,0.36,0.3,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,1,"Oracle-GMM",100,0.3,0.3,0.3,0.29,0.29,0.29,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,1,"Full-GMM",100,0.5,0.5,0.5,0.512,0.512,0.512,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,1,"DML-IVQR-BC",100,0.3,0.3,0.3,0.279,0.279,0.279,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,0.25,"Oracle-GMM",100,2.825,4.2,4.85,2.628,3.945,4.99,1.325,1.317,0.4,1.045,0.62,0.47,0.37,0.07,0.05,0.04,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,0.25,"Full-GMM",100,2.95,4.45,5.15,2.827,4.267,5.478,1.375,1.44,0.9,1.211,0.65,0.55,0.53,0.08,0.01,0,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,0.25,"DML-IVQR-BC",100,2.325,3.3,3.9,2.4025,3.5955,4.788,0.525,1.193,1.2,1.1925,0.55,0.45,0.55,0.09,0.06,0.03,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,0.1,"Oracle-GMM",100,3.975,7.75,11.7,3.67,6.999,10.357,4,3.329,4,3.358,0.94,0.96,0.93,0.5,0.4,0.38,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,0.1,"Full-GMM",100,3.9,7.75,11.5,3.661,7.023,10.2665,3.9,3.362,3.8,3.2435,0.98,0.92,0.92,0.42,0.27,0.22,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.75,0.1,"DML-IVQR-BC",100,3.9,7.35,10.375,3.5545,6.6905,9.7355,3.575,3.136,3.6,3.045,0.95,0.97,0.98,0.47,0.36,0.31,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,1,"Oracle-GMM",100,0.5,0.5,0.5,0.519,0.519,0.519,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,1,"Full-GMM",100,1,1,1,1.026,1.031,1.031,0,0.005,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,1,"DML-IVQR-BC",100,0.4,0.4,0.4,0.454,0.454,0.454,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,0.25,"Oracle-GMM",100,3.65,5.85,7.85,3.381,5.6255,7.675,2.05,2.2445,2,2.0495,0.85,0.76,0.76,0.25,0.09,0.06,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,0.25,"Full-GMM",100,3.675,6.15,8.575,3.555,6.123,8.432,2.6,2.568,2.2,2.309,0.96,0.8,0.82,0.11,0.06,0.03,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,0.25,"DML-IVQR-BC",100,3.45,5.4,7.3,3.1135,5.249,7.374,2,2.1355,2,2.125,0.82,0.77,0.79,0.21,0.1,0.06,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,0.1,"Oracle-GMM",100,4,7.9,11.8,3.712,7.241,10.7705,4,3.529,4,3.5295,0.98,1,1,0.62,0.45,0.43,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,0.1,"Full-GMM",100,3.9,7.7,11.5,3.8175,7.448,11.0315,3.8,3.6305,3.825,3.5835,1,0.99,0.99,0.38,0.11,0.06,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.9,0.1,"DML-IVQR-BC",100,4,7.7,11.6,3.6445,7.04191919191919,10.3949494949495,4,3.3989898989899,4,3.3530303030303,0.99,0.97979797979798,0.98989898989899,0.51,0.393939393939394,0.343434343434343,100,99,99,0,1,1,1,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
