"n","tau","kappa","estimator","R_available","coverage","size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","median_W_true","q90_W_true","q95_W_true","q99_W_true","mean_W_true","q95_ratio_to_chisq2_q95"
1000,0.1,1,"Oracle-GMM",500,0.86,0.14,0.0155177317930167,0.826833135055546,0.887677339812136,2.04347180365379,7.2306559386752,9.72349206203605,14.7036433502526,3.07555936892213,1.62289069485181
1000,0.1,1,"Full-GMM",500,0.502,0.498,0.0223605008888441,0.458326363229862,0.545643139408292,5.95006427582575,16.9779415831745,21.0897041492197,29.8286369691297,7.81058760895074,3.51995809762397
1000,0.1,1,"DML-IVQR-BC",500,0.968,0.032,0.00787095928079926,0.948655130954558,0.980208486373429,1.44899710002264,4.19572208593409,5.25616406739145,7.47315099197385,1.93591432627407,0.877275334947705
1000,0.25,1,"Oracle-GMM",500,0.874,0.126,0.0148407546977908,0.842032282280136,0.900264711054623,1.84521849136414,6.60423140912276,8.2998740967392,11.2510171779425,2.70777781338476,1.38528301911516
1000,0.25,1,"Full-GMM",500,0.79,0.21,0.018215378118502,0.752155153040702,0.823422729491598,2.57257910889601,8.21968988051447,10.9400983262828,18.0664064001716,3.74774409050706,1.82594726886325
1000,0.25,1,"DML-IVQR-BC",500,0.894,0.106,0.0137669168661687,0.863949069989267,0.91804294972703,1.72033648700894,6.07137906762822,7.81056925436145,10.7192039024052,2.52666279588853,1.30361603460235
1000,0.5,1,"Oracle-GMM",500,0.872,0.128,0.0149409504383088,0.839854314691842,0.898473176004763,1.96125149869421,6.77886585127916,8.51070438403993,11.4579931240047,2.83274761215262,1.42047145854313
1000,0.5,1,"Full-GMM",500,0.896,0.104,0.013651666564929,0.866155729124342,0.919805793230109,1.64640782625505,6.14872215477595,7.52417334852391,11.9778041325992,2.51083909582906,1.25581538359528
1000,0.5,1,"DML-IVQR-BC",500,0.776,0.224,0.0186453211289052,0.737430335325131,0.810361028740092,2.93307048156277,9.0916721716406,11.1569446971217,14.8995568652063,3.92210650713846,1.86213981730177
1000,0.75,1,"Oracle-GMM",500,0.86,0.14,0.0155177317930167,0.826833135055546,0.887677339812136,1.82015140318881,6.83852342180787,8.76312549032182,14.0316794040727,2.8647758446961,1.46260157619587
1000,0.75,1,"Full-GMM",500,0.79,0.21,0.018215378118502,0.752155153040702,0.823422729491598,2.50391586900693,8.7586414959309,12.4888162004369,18.0736344164612,3.84278757683624,2.0844346323413
1000,0.75,1,"DML-IVQR-BC",500,0.632,0.368,0.0215673827804859,0.588871722496907,0.673115451621243,4.34639252578083,13.0668169582216,16.0341167088112,21.7485054417792,5.83375480716429,2.67615982415363
1000,0.9,1,"Oracle-GMM",500,0.904,0.096,0.0131745208641529,0.875013037572485,0.926826495334581,1.90929235968064,5.93291330676629,7.3949064999589,12.4251988404781,2.70063108790497,1.23424021653076
1000,0.9,1,"Full-GMM",500,0.53,0.47,0.0223203942617508,0.486190591424253,0.573351948148054,5.16090363280671,17.2040851294398,20.0720670202976,28.0548176012307,7.31838454583646,3.35011028814085
1000,0.9,1,"DML-IVQR-BC",500,0.498,0.502,0.0223605008888441,0.454356860591708,0.541673636770138,6.0649737476199,15.077851475403,18.681893150326,24.2390171208409,7.09095285665359,3.11808456904641
