"n","tau","kappa","estimator","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_41_acceptance_rate","computational_domain","measure_definition"
500,0.5,0.5,"Oracle-GMM",1,1.1118,0.24390243902439,0.27190243902439,11.148,0.042,0.018,0.056,0.004,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.5,"Full-GMM",1.6,1.715,0.390243902439024,0.42,17.22,0.096,0.044,0.132,0.008,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.5,"DML-IVQR-BC",1.2,1.3385,0.292682926829268,0.327463414634146,13.426,0.01,0.072,0.078,0.004,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.25,"Oracle-GMM",2.925,2.8631,0.731707317073171,0.711121951219512,29.156,0.56,0.49,0.706,0.344,0.168,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.25,"Full-GMM",3.35,3.1847,0.829268292682927,0.791951219512195,32.47,0.644,0.602,0.798,0.448,0.15,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.25,"DML-IVQR-BC",3.05,2.9971,0.75609756097561,0.744682926829268,30.532,0.38,0.742,0.81,0.312,0.15,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.1,"Oracle-GMM",4,3.6563,1,0.913317073170732,37.446,0.898,0.868,0.968,0.798,0.54,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.1,"Full-GMM",3.9,3.6703,0.975609756097561,0.916731707317073,37.586,0.884,0.882,0.974,0.792,0.404,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.5,0.1,"DML-IVQR-BC",4,3.6517,1,0.912048780487805,37.394,0.818,0.936,0.984,0.77,0.54,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,1,"Oracle-GMM",0.5,0.497,0.121951219512195,0.121219512195122,4.97,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,1,"Full-GMM",1,0.978,0.24390243902439,0.238536585365854,9.78,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,1,"DML-IVQR-BC",0.5,0.495,0.121951219512195,0.120731707317073,4.95,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.5,"Oracle-GMM",1.5,1.6763,0.365853658536585,0.411317073170732,16.864,0.172,0.03,0.196,0.006,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.5,"Full-GMM",2.4,2.3968,0.585365853658537,0.590243902439024,24.2,0.3,0.164,0.394,0.07,0.01,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.5,"DML-IVQR-BC",1.3,1.4889,0.317073170731707,0.365268292682927,14.976,0.076,0.098,0.164,0.01,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.25,"Oracle-GMM",3.45,3.2413,0.853658536585366,0.806439024390244,33.064,0.75,0.552,0.872,0.43,0.224,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.25,"Full-GMM",3.65,3.4728,0.902439024390244,0.864926829268293,35.462,0.766,0.702,0.916,0.552,0.176,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
