"n","tau","kappa","estimator","total_replications","median_added_measure_A0_to_A1","mean_added_measure_A0_to_A1","median_added_measure_A1_to_A2","mean_added_measure_A1_to_A2","median_accepted_share_A0","mean_accepted_share_A0","median_accepted_share_A1","mean_accepted_share_A1","median_accepted_share_A2","mean_accepted_share_A2","boundary_acceptance_rate_A0","boundary_acceptance_rate_A1","boundary_acceptance_rate_A2","all_grid_acceptance_rate_A0","all_grid_acceptance_rate_A1","all_grid_acceptance_rate_A2"
1000,0.1,0.1,"DML-IVQR-BC",100,3.7,3.374,3.45,3.1205,1,0.959756097560976,0.944444444444444,0.901234567901235,0.896694214876033,0.860743801652893,1,0.99,0.99,0.56,0.26,0.2
1000,0.1,0.1,"Full-GMM",100,3.85,3.6095,3.875,3.58,0.975609756097561,0.94609756097561,0.975308641975309,0.923703703703704,0.966942148760331,0.914462809917355,0.99,0.98,0.99,0.43,0.21,0.15
1000,0.1,0.1,"Oracle-GMM",100,4,3.636,4,3.621,1,0.935853658536585,0.987654320987654,0.922345679012346,0.991735537190083,0.916776859504132,1,1,1,0.58,0.43,0.39
1000,0.1,0.25,"DML-IVQR-BC",100,2.15,2.4325,2,2.205,0.926829268292683,0.897804878048781,0.740740740740741,0.752716049382716,0.661157024793388,0.685867768595041,0.95,0.98,0.98,0.24,0.06,0.05
1000,0.1,0.25,"Full-GMM",100,2.5,2.4695,2.2,2.263,0.841463414634146,0.822439024390244,0.740740740740741,0.720123456790123,0.681818181818182,0.668677685950413,0.92,0.84,0.75,0.09,0.03,0.02
1000,0.1,0.25,"Oracle-GMM",100,2,1.974,2,1.844,0.841463414634146,0.750975609756098,0.666666666666667,0.622098765432099,0.603305785123967,0.569090909090909,0.88,0.77,0.74,0.15,0.07,0.05
1000,0.1,1,"DML-IVQR-BC",100,0,0,0,0,0.146341463414634,0.171951219512195,0.0740740740740741,0.087037037037037,0.0495867768595041,0.0582644628099174,0,0,0,0,0,0
1000,0.1,1,"Full-GMM",100,0,0,0,0,0.195121951219512,0.184634146341463,0.0987654320987654,0.0934567901234568,0.0661157024793388,0.0625619834710744,0,0,0,0,0,0
1000,0.1,1,"Oracle-GMM",100,0,0,0,0,0.0975609756097561,0.0941463414634146,0.0493827160493827,0.0476543209876543,0.0330578512396694,0.031900826446281,0,0,0,0,0,0
1000,0.25,0.1,"DML-IVQR-BC",100,3.95,3.275,3.625,3.0585,1,0.911707317073171,0.962962962962963,0.864691358024691,0.925619834710744,0.831157024793388,0.98,0.99,0.99,0.55,0.4,0.29
1000,0.25,0.1,"Full-GMM",100,3.8,3.296,3.8,3.192,0.951219512195122,0.897073170731707,0.950617283950617,0.860864197530864,0.925619834710744,0.839917355371901,0.96,0.93,0.9,0.32,0.25,0.21
1000,0.25,0.1,"Oracle-GMM",100,3.9,3.2065,3.9,3.1735,0.975609756097561,0.871463414634146,0.962962962962963,0.836913580246914,0.958677685950413,0.822314049586777,0.94,0.93,0.94,0.47,0.38,0.32
1000,0.25,0.25,"DML-IVQR-BC",100,1.75,1.4995,2,1.582,0.682926829268293,0.650731707317073,0.580246913580247,0.514691358024691,0.516528925619835,0.475206611570248,0.61,0.74,0.74,0.09,0.05,0.02
1000,0.25,0.25,"Full-GMM",100,1.025,1.251,0.6,0.9775,0.609756097560976,0.622682926829268,0.432098765432099,0.468024691358025,0.338842975206612,0.394132231404959,0.56,0.39,0.39,0.06,0.03,0.01
1000,0.25,0.25,"Oracle-GMM",100,0.275,0.933,0,0.8065,0.536585365853659,0.548780487804878,0.345679012345679,0.392592592592593,0.235537190082645,0.32900826446281,0.4,0.36,0.27,0.07,0.05,0.03
1000,0.25,1,"DML-IVQR-BC",100,0,0,0,0,0.0731707317073171,0.084390243902439,0.037037037037037,0.042716049382716,0.0247933884297521,0.0285950413223141,0,0,0,0,0,0
1000,0.25,1,"Full-GMM",100,0,0,0,0,0.0975609756097561,0.104634146341463,0.0493827160493827,0.052962962962963,0.0330578512396694,0.0354545454545455,0,0,0,0,0,0
1000,0.25,1,"Oracle-GMM",100,0,0,0,0,0.0731707317073171,0.0631707317073171,0.037037037037037,0.0319753086419753,0.0247933884297521,0.021404958677686,0,0,0,0,0,0
1000,0.5,0.1,"DML-IVQR-BC",100,3.85,3.1335,2.85,2.914,0.975609756097561,0.882682926829268,0.938271604938272,0.832962962962963,0.859504132231405,0.798181818181818,0.9,0.93,0.96,0.45,0.36,0.3
1000,0.5,0.1,"Full-GMM",100,3.9,3.1815,3.9,3.0995,0.975609756097561,0.882926829268293,0.950617283950617,0.839135802469136,0.954545454545455,0.817685950413223,0.94,0.89,0.85,0.45,0.32,0.28
1000,0.5,0.1,"Oracle-GMM",100,3.9,3.1195,4,3.047,0.951219512195122,0.878536585365854,0.950617283950617,0.829506172839506,0.942148760330578,0.806776859504132,0.91,0.89,0.83,0.42,0.35,0.32
1000,0.5,0.25,"DML-IVQR-BC",100,0.25,0.8955,0.4,0.9215,0.48780487804878,0.525121951219512,0.308641975308642,0.375185185185185,0.252066115702479,0.327933884297521,0.44,0.34,0.5,0.06,0.02,0.02
1000,0.5,0.25,"Full-GMM",100,0.1,0.8035,0,0.6305,0.548780487804878,0.58390243902439,0.296296296296296,0.393703703703704,0.210743801652893,0.315702479338843,0.4,0.24,0.26,0.05,0.02,0.02
1000,0.5,0.25,"Oracle-GMM",100,0,0.722,0,0.547,0.463414634146341,0.484146341463415,0.271604938271605,0.332962962962963,0.181818181818182,0.267768595041322,0.39,0.2,0.15,0.05,0.04,0.02
1000,0.5,1,"DML-IVQR-BC",100,0,0,0,0,0.0731707317073171,0.0631707317073171,0.037037037037037,0.0319753086419753,0.0247933884297521,0.021404958677686,0,0,0,0,0,0
1000,0.5,1,"Full-GMM",100,0,0,0,0,0.0975609756097561,0.0909756097560976,0.0493827160493827,0.0460493827160494,0.0330578512396694,0.0308264462809917,0,0,0,0,0,0
1000,0.5,1,"Oracle-GMM",100,0,0,0,0,0.0487804878048781,0.0573170731707317,0.0246913580246914,0.0290123456790123,0.0165289256198347,0.0194214876033058,0,0,0,0,0,0
1000,0.75,0.1,"DML-IVQR-BC",100,3.575,3.136,3.6,3.045,0.975609756097561,0.886585365853659,0.91358024691358,0.835555555555555,0.863636363636364,0.810826446280992,0.95,0.97,0.98,0.47,0.36,0.31
1000,0.75,0.1,"Full-GMM",100,3.9,3.362,3.8,3.2435,0.975609756097561,0.914390243902439,0.969135802469136,0.87716049382716,0.958677685950413,0.855206611570248,0.98,0.92,0.92,0.42,0.27,0.22
1000,0.75,0.1,"Oracle-GMM",100,4,3.329,4,3.358,0.98780487804878,0.915365853658537,0.969135802469136,0.874320987654321,0.975206611570248,0.862809917355372,0.94,0.96,0.93,0.5,0.4,0.38
1000,0.75,0.25,"DML-IVQR-BC",100,0.525,1.193,1.2,1.1925,0.573170731707317,0.594634146341463,0.407407407407407,0.447407407407407,0.322314049586777,0.398264462809917,0.55,0.45,0.55,0.09,0.06,0.03
1000,0.75,0.25,"Full-GMM",100,1.375,1.44,0.9,1.211,0.731707317073171,0.700487804878049,0.555555555555556,0.531234567901235,0.429752066115702,0.455537190082645,0.65,0.55,0.53,0.08,0.01,0
1000,0.75,0.25,"Oracle-GMM",100,1.325,1.317,0.4,1.045,0.695121951219512,0.650487804878049,0.518518518518518,0.490617283950617,0.400826446280992,0.414380165289256,0.62,0.47,0.37,0.07,0.05,0.04
1000,0.75,1,"DML-IVQR-BC",100,0,0,0,0,0.0731707317073171,0.0680487804878049,0.037037037037037,0.0344444444444444,0.0247933884297521,0.0230578512396694,0,0,0,0,0,0
1000,0.75,1,"Full-GMM",100,0,0,0,0,0.121951219512195,0.124878048780488,0.0617283950617284,0.0632098765432099,0.0413223140495868,0.0423140495867769,0,0,0,0,0,0
1000,0.75,1,"Oracle-GMM",100,0,0,0,0,0.0731707317073171,0.0707317073170732,0.037037037037037,0.0358024691358025,0.0247933884297521,0.0239669421487603,0,0,0,0,0,0
1000,0.9,0.1,"DML-IVQR-BC",100,4,3.3989898989899,4,3.3530303030303,1,0.91,0.962962962962963,0.879785509415139,0.966942148760331,0.866099006594874,0.99,0.97979797979798,0.98989898989899,0.51,0.393939393939394,0.343434343434343
1000,0.9,0.1,"Full-GMM",100,3.8,3.6305,3.825,3.5835,0.975609756097561,0.95390243902439,0.962962962962963,0.930493827160494,0.958677685950413,0.919504132231405,1,0.99,0.99,0.38,0.11,0.06
1000,0.9,0.1,"Oracle-GMM",100,4,3.529,4,3.5295,1,0.926829268292683,0.987654320987654,0.904691358024691,0.983471074380165,0.897520661157025,0.98,1,1,0.62,0.45,0.43
1000,0.9,0.25,"DML-IVQR-BC",100,2,2.1355,2,2.125,0.853658536585366,0.773658536585366,0.672839506172839,0.654814814814815,0.607438016528926,0.613719008264463,0.82,0.77,0.79,0.21,0.1,0.06
1000,0.9,0.25,"Full-GMM",100,2.6,2.568,2.2,2.309,0.902439024390244,0.884878048780488,0.765432098765432,0.762962962962963,0.714876033057851,0.701487603305785,0.96,0.8,0.82,0.11,0.06,0.03
1000,0.9,0.25,"Oracle-GMM",100,2.05,2.2445,2,2.0495,0.902439024390244,0.839512195121951,0.728395061728395,0.700987654320988,0.652892561983471,0.638429752066116,0.85,0.76,0.76,0.25,0.09,0.06
1000,0.9,1,"DML-IVQR-BC",100,0,0,0,0,0.0975609756097561,0.110731707317073,0.0493827160493827,0.0560493827160494,0.0330578512396694,0.0375206611570248,0,0,0,0,0,0
1000,0.9,1,"Full-GMM",100,0,0.005,0,0,0.24390243902439,0.250243902439024,0.123456790123457,0.127283950617284,0.0826446280991736,0.0852066115702479,0,0,0,0,0,0
1000,0.9,1,"Oracle-GMM",100,0,0,0,0,0.121951219512195,0.126585365853659,0.0617283950617284,0.0640740740740741,0.0413223140495868,0.0428925619834711,0,0,0,0,0,0
