"n","tau","kappa","estimator","range","total_replications","successful_profiles","failed_profiles","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","median_number_accepted_grid_points","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_grid_points_acceptance_rate"
1000,0.25,0.25,"DML-IVQR-BC","A_0_-1_3",100,100,0,2.75,2.63,0.682926829268293,0.650731707317073,28,26.68,0.24,0.52,0.61,0.15,0.09
1000,0.25,0.25,"DML-IVQR-BC","A_1_-3_5",100,100,0,4.65,4.1295,0.580246913580247,0.514691358024691,47,41.69,0.06,0.73,0.74,0.05,0.05
1000,0.25,0.25,"DML-IVQR-BC","A_2_-5_7",100,100,0,6.225,5.7115,0.516528925619835,0.475206611570248,62.5,57.5,0.03,0.74,0.74,0.03,0.02
1000,0.25,0.25,"Full-GMM","A_0_-1_3",100,100,0,2.45,2.5165,0.609756097560976,0.622682926829268,25,25.53,0.36,0.37,0.56,0.17,0.06
1000,0.25,0.25,"Full-GMM","A_1_-3_5",100,100,0,3.5,3.7675,0.432098765432099,0.468024691358025,35,37.91,0.24,0.23,0.39,0.08,0.03
1000,0.25,0.25,"Full-GMM","A_2_-5_7",100,100,0,4.075,4.745,0.338842975206612,0.394132231404959,41,47.69,0.25,0.23,0.39,0.09,0.01
1000,0.25,0.25,"Oracle-GMM","A_0_-1_3",100,100,0,2.175,2.2245,0.536585365853659,0.548780487804878,22,22.5,0.23,0.28,0.4,0.11,0.07
1000,0.25,0.25,"Oracle-GMM","A_1_-3_5",100,100,0,2.8,3.1575,0.345679012345679,0.392592592592593,28,31.8,0.22,0.23,0.36,0.09,0.05
1000,0.25,0.25,"Oracle-GMM","A_2_-5_7",100,100,0,2.85,3.964,0.235537190082645,0.32900826446281,28.5,39.81,0.15,0.19,0.27,0.07,0.03
1000,0.25,1,"DML-IVQR-BC","A_0_-1_3",100,100,0,0.3,0.346,0.0731707317073171,0.084390243902439,3,3.46,0,0,0,0,0
1000,0.25,1,"DML-IVQR-BC","A_1_-3_5",100,100,0,0.3,0.346,0.037037037037037,0.042716049382716,3,3.46,0,0,0,0,0
1000,0.25,1,"DML-IVQR-BC","A_2_-5_7",100,100,0,0.3,0.346,0.0247933884297521,0.0285950413223141,3,3.46,0,0,0,0,0
1000,0.25,1,"Full-GMM","A_0_-1_3",100,100,0,0.4,0.429,0.0975609756097561,0.104634146341463,4,4.29,0,0,0,0,0
1000,0.25,1,"Full-GMM","A_1_-3_5",100,100,0,0.4,0.429,0.0493827160493827,0.052962962962963,4,4.29,0,0,0,0,0
1000,0.25,1,"Full-GMM","A_2_-5_7",100,100,0,0.4,0.429,0.0330578512396694,0.0354545454545455,4,4.29,0,0,0,0,0
1000,0.25,1,"Oracle-GMM","A_0_-1_3",100,100,0,0.3,0.259,0.0731707317073171,0.0631707317073171,3,2.59,0,0,0,0,0
1000,0.25,1,"Oracle-GMM","A_1_-3_5",100,100,0,0.3,0.259,0.037037037037037,0.0319753086419753,3,2.59,0,0,0,0,0
1000,0.25,1,"Oracle-GMM","A_2_-5_7",100,100,0,0.3,0.259,0.0247933884297521,0.021404958677686,3,2.59,0,0,0,0,0
1000,0.5,0.1,"DML-IVQR-BC","A_0_-1_3",100,100,0,3.9,3.538,0.975609756097561,0.882682926829268,40,36.19,0.78,0.84,0.9,0.72,0.45
1000,0.5,0.1,"DML-IVQR-BC","A_1_-3_5",100,100,0,7.5,6.6715,0.938271604938272,0.832962962962963,76,67.47,0.58,0.93,0.93,0.58,0.36
1000,0.5,0.1,"DML-IVQR-BC","A_2_-5_7",100,100,0,10.325,9.5855,0.859504132231405,0.798181818181818,104,96.58,0.49,0.96,0.96,0.49,0.3
1000,0.5,0.1,"Full-GMM","A_0_-1_3",100,100,0,3.9,3.536,0.975609756097561,0.882926829268293,40,36.2,0.85,0.83,0.94,0.74,0.45
1000,0.5,0.1,"Full-GMM","A_1_-3_5",100,100,0,7.625,6.7175,0.950617283950617,0.839135802469136,77,67.97,0.79,0.8,0.89,0.7,0.32
1000,0.5,0.1,"Full-GMM","A_2_-5_7",100,100,0,11.45,9.817,0.954545454545455,0.817685950413223,115.5,98.94,0.76,0.78,0.85,0.69,0.28
1000,0.5,0.1,"Oracle-GMM","A_0_-1_3",100,100,0,3.825,3.5205,0.951219512195122,0.878536585365854,39,36.02,0.85,0.78,0.91,0.72,0.42
1000,0.5,0.1,"Oracle-GMM","A_1_-3_5",100,100,0,7.6,6.64,0.950617283950617,0.829506172839506,77,67.19,0.83,0.75,0.89,0.69,0.35
1000,0.5,0.1,"Oracle-GMM","A_2_-5_7",100,100,0,11.3,9.687,0.942148760330578,0.806776859504132,114,97.62,0.79,0.71,0.83,0.67,0.32
1000,0.5,0.25,"DML-IVQR-BC","A_0_-1_3",100,100,0,1.95,2.1245,0.48780487804878,0.525121951219512,20,21.53,0.22,0.35,0.44,0.13,0.06
1000,0.5,0.25,"DML-IVQR-BC","A_1_-3_5",100,100,0,2.5,3.02,0.308641975308642,0.375185185185185,25,30.39,0.04,0.34,0.34,0.04,0.02
1000,0.5,0.25,"DML-IVQR-BC","A_2_-5_7",100,100,0,3.025,3.9415,0.252066115702479,0.327933884297521,30.5,39.68,0.03,0.5,0.5,0.03,0.02
1000,0.5,0.25,"Full-GMM","A_0_-1_3",100,100,0,2.25,2.368,0.548780487804878,0.58390243902439,22.5,23.94,0.29,0.23,0.4,0.12,0.05
1000,0.5,0.25,"Full-GMM","A_1_-3_5",100,100,0,2.4,3.1715,0.296296296296296,0.393703703703704,24,31.89,0.17,0.18,0.24,0.11,0.02
1000,0.5,0.25,"Full-GMM","A_2_-5_7",100,100,0,2.55,3.802,0.210743801652893,0.315702479338843,25.5,38.2,0.16,0.2,0.26,0.1,0.02
1000,0.5,0.25,"Oracle-GMM","A_0_-1_3",100,100,0,1.875,1.96,0.463414634146341,0.484146341463415,19,19.85,0.3,0.2,0.39,0.11,0.05
1000,0.5,0.25,"Oracle-GMM","A_1_-3_5",100,100,0,2.2,2.682,0.271604938271605,0.332962962962963,22,26.97,0.18,0.12,0.2,0.1,0.04
1000,0.5,0.25,"Oracle-GMM","A_2_-5_7",100,100,0,2.2,3.229,0.181818181818182,0.267768595041322,22,32.4,0.13,0.09,0.15,0.07,0.02
1000,0.5,1,"DML-IVQR-BC","A_0_-1_3",100,100,0,0.3,0.259,0.0731707317073171,0.0631707317073171,3,2.59,0,0,0,0,0
1000,0.5,1,"DML-IVQR-BC","A_1_-3_5",100,100,0,0.3,0.259,0.037037037037037,0.0319753086419753,3,2.59,0,0,0,0,0
1000,0.5,1,"DML-IVQR-BC","A_2_-5_7",100,100,0,0.3,0.259,0.0247933884297521,0.021404958677686,3,2.59,0,0,0,0,0
1000,0.5,1,"Full-GMM","A_0_-1_3",100,100,0,0.4,0.373,0.0975609756097561,0.0909756097560976,4,3.73,0,0,0,0,0
1000,0.5,1,"Full-GMM","A_1_-3_5",100,100,0,0.4,0.373,0.0493827160493827,0.0460493827160494,4,3.73,0,0,0,0,0
1000,0.5,1,"Full-GMM","A_2_-5_7",100,100,0,0.4,0.373,0.0330578512396694,0.0308264462809917,4,3.73,0,0,0,0,0
1000,0.5,1,"Oracle-GMM","A_0_-1_3",100,100,0,0.2,0.235,0.0487804878048781,0.0573170731707317,2,2.35,0,0,0,0,0
1000,0.5,1,"Oracle-GMM","A_1_-3_5",100,100,0,0.2,0.235,0.0246913580246914,0.0290123456790123,2,2.35,0,0,0,0,0
1000,0.5,1,"Oracle-GMM","A_2_-5_7",100,100,0,0.2,0.235,0.0165289256198347,0.0194214876033058,2,2.35,0,0,0,0,0
1000,0.75,0.1,"DML-IVQR-BC","A_0_-1_3",100,100,0,3.9,3.5545,0.975609756097561,0.886585365853659,40,36.35,0.75,0.86,0.95,0.66,0.47
1000,0.75,0.1,"DML-IVQR-BC","A_1_-3_5",100,100,0,7.35,6.6905,0.91358024691358,0.835555555555555,74,67.68,0.59,0.96,0.97,0.58,0.36
1000,0.75,0.1,"DML-IVQR-BC","A_2_-5_7",100,100,0,10.375,9.7355,0.863636363636364,0.810826446280992,104.5,98.11,0.56,0.95,0.98,0.53,0.31
1000,0.75,0.1,"Full-GMM","A_0_-1_3",100,100,0,3.9,3.661,0.975609756097561,0.914390243902439,40,37.49,0.89,0.87,0.98,0.78,0.42
1000,0.75,0.1,"Full-GMM","A_1_-3_5",100,100,0,7.75,7.023,0.969135802469136,0.87716049382716,78.5,71.05,0.85,0.79,0.92,0.72,0.27
1000,0.75,0.1,"Full-GMM","A_2_-5_7",100,100,0,11.5,10.2665,0.958677685950413,0.855206611570248,116,103.48,0.86,0.77,0.92,0.71,0.22
1000,0.75,0.1,"Oracle-GMM","A_0_-1_3",100,100,0,3.975,3.67,0.98780487804878,0.915365853658537,40.5,37.53,0.86,0.8,0.94,0.72,0.5
1000,0.75,0.1,"Oracle-GMM","A_1_-3_5",100,100,0,7.75,6.999,0.969135802469136,0.874320987654321,78.5,70.82,0.85,0.81,0.96,0.7,0.4
1000,0.75,0.1,"Oracle-GMM","A_2_-5_7",100,100,0,11.7,10.357,0.975206611570248,0.862809917355372,118,104.4,0.84,0.82,0.93,0.73,0.38
1000,0.75,0.25,"DML-IVQR-BC","A_0_-1_3",100,100,0,2.325,2.4025,0.573170731707317,0.594634146341463,23.5,24.38,0.35,0.36,0.55,0.16,0.09
1000,0.75,0.25,"DML-IVQR-BC","A_1_-3_5",100,100,0,3.3,3.5955,0.407407407407407,0.447407407407407,33,36.24,0.13,0.44,0.45,0.12,0.06
