"n","tau","kappa","estimator","rows","duplicate_replication_rows","missing_replication_count","missing_replication_ids","unexpected_replication_count","unexpected_replication_ids","na_W_true","nan_W_true","positive_inf_W_true","negative_inf_W_true","negative_finite_W_true","above_chisq2_q99","above_chisq2_q999","profile_failed_true","coverage_failed_true","any_failed_true","rejection_indicator_mismatches","coverage_indicator_mismatches","coverage_rejection_complement_mismatches","alpha_true_formula_mismatches"
500,0.9,1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,14,2,0,0,0,0,0,0,0
500,0.9,0.5,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,17,2,0,0,0,0,0,0,0
500,0.9,0.5,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,30,3,0,0,0,0,0,0,0
500,0.9,0.5,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,4,0,0,0,0,0,0,0,0
500,0.9,0.25,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,5,0,0,0,0,0,0,0,0
500,0.9,0.25,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,7,1,0,0,0,0,0,0,0
500,0.9,0.25,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,2,1,0,0,0,0,0,0,0
500,0.9,0.1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,6,1,0,0,0,0,0,0,0
500,0.9,0.1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,4,0,0,0,0,0,0,0,0
500,0.9,0.1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,3,1,0,0,0,0,0,0,0
1000,0.1,1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,3,0,0,0,0,0,0,0,0
1000,0.1,1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,165,84,0,0,0,0,0,0,0
1000,0.1,1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,30,8,0,0,0,0,0,0,0
1000,0.1,0.5,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,3,0,0,0,0,0,0,0,0
1000,0.1,0.5,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,37,10,0,0,0,0,0,0,0
1000,0.1,0.5,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,13,1,0,0,0,0,0,0,0
1000,0.1,0.25,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,2,0,0,0,0,0,0,0,0
1000,0.1,0.25,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,5,1,0,0,0,0,0,0,0
1000,0.1,0.25,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,6,2,0,0,0,0,0,0,0
1000,0.1,0.1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,2,0,0,0,0,0,0,0,0
1000,0.1,0.1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,4,0,0,0,0,0,0,0,0
1000,0.1,0.1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,5,1,0,0,0,0,0,0,0
1000,0.25,1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,11,1,0,0,0,0,0,0,0
1000,0.25,1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,40,12,0,0,0,0,0,0,0
1000,0.25,1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,18,2,0,0,0,0,0,0,0
