"n","tau","kappa","estimator","total_rows","R_available","number_missing","number_non_finite","empirical_coverage","empirical_size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval","mean_W_true","sd_W_true","min_W_true","q10_W_true","q25_W_true","median_W_true","q75_W_true","q90_W_true","q95_W_true","q99_W_true","max_W_true","empirical_rejection_rate","q95_ratio_to_chisq2_q95","mean_minus_chisq2_mean","variance_minus_chisq2_variance","max_abs_ecdf_difference_chisq2","summary_reported_coverage","summary_reported_size","summary_coverage_abs_difference","summary_size_abs_difference"
500,0.75,0.1,"Oracle-GMM",500,500,0,0,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE,2.07530865547307,2.05620968268445,0.0142080293678569,0.250804941927245,0.580313798854077,1.42832472969123,2.76176639453529,4.82786333923106,6.53717245523437,9.30159668828172,11.7797361479939,0.066,1.09108088745844,0.075308655473072,0.227998259165281,0.0275369835353647,0.934,0.066,0,5.55111512312578e-17
500,0.75,0.1,"Full-GMM",500,500,0,0,0.956,0.044,0.00917213170424412,0.934280557127672,0.970766044371393,TRUE,1.95391699555202,1.99235203025837,0.00204921815277079,0.214820122891418,0.539077730652542,1.40865600797985,2.58949631798786,4.45656740118163,5.77872594053704,9.2686087169994,13.7522041246508,0.044,0.96449305426106,-0.0460830044479839,-0.0305333875253484,0.0331308839514278,0.956,0.044,0,4.16333634234434e-17
500,0.75,0.1,"DML-IVQR-BC",500,500,0,0,0.938,0.0620000000000001,0.0107848041243223,0.913340286898362,0.955980790857318,TRUE,2.13290554549709,2.01993704645351,0.0317794678702054,0.233931650498257,0.594822107992735,1.56097808696336,3.00217888971736,5.0179097254286,6.11696674918263,8.74868351138484,14.7394760132947,0.062,1.02094683212892,0.132905545497094,0.0801456716353153,0.0516845860634745,0.938,0.062,0,5.55111512312578e-17
500,0.9,1,"Oracle-GMM",500,500,0,0,0.882,0.118,0.0144274737913468,0.850768012138881,0.907406991748494,FALSE,2.61401306751593,2.64392830773498,0.00109217955046193,0.293946337016214,0.718329487532793,1.70145445047096,3.72863826946801,6.48680093540464,7.89750234022137,10.4355684386879,20.3231311327475,0.118,1.31812552308824,0.614013067515927,2.99035689644235,0.0981547189510175,0.882,0.118,0,0
500,0.9,1,"Full-GMM",500,500,0,0,0.556,0.444,0.0222199909990981,0.512186893049726,0.59895918081858,FALSE,6.70047998545046,5.67885547142448,0.0226885587396367,0.836879556667376,2.59181695647215,5.06473799024154,9.17664615131952,14.5554839119837,17.3561904885871,23.9474197375148,36.7649405034629,0.444,2.89681935896036,4.70047998545046,28.2493994653278,0.497575761864013,0.556,0.444,0,5.55111512312578e-17
500,0.9,1,"DML-IVQR-BC",500,500,0,0,0.658,0.342,0.0212149004239945,0.615356215080009,0.69823449333414,FALSE,5.23526023228559,4.63319170770568,0.0322787400044668,0.90618366803893,1.79408267542443,4.00998904250946,7.06909157048447,11.4910472590403,13.7146943584167,22.1316966951826,32.3129018080701,0.342,2.28903872343477,3.23526023228559,17.4664654003527,0.390021984357529,0.658,0.342,0,5.55111512312578e-17
500,0.9,0.5,"Oracle-GMM",500,500,0,0,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE,2.09775837166293,2.02790341224905,0.00848951303727218,0.244202189082645,0.597200557045742,1.43465854330314,2.94605730318124,5.13858864627679,6.18759496966986,8.99183993828286,10.8938266691971,0.056,1.0327349717285,0.0977583716629256,0.11239224941133,0.0338997769286554,0.944,0.056,0,4.85722573273506e-17
500,0.9,0.5,"Full-GMM",500,500,0,0,0.84,0.16,0.0163951212255354,0.805291820836308,0.869523627649836,FALSE,3.22784769542669,3.07405536441488,0.0034981561109804,0.319954328680639,0.945572528834377,2.30531289486393,4.54954132435749,7.2603565510765,9.5324764444554,12.9749082441176,21.9897420705349,0.16,1.59100940504716,1.22784769542669,5.44981638348788,0.203353333976023,0.84,0.16,0,2.77555756156289e-17
500,0.9,0.5,"DML-IVQR-BC",500,500,0,0,0.898,0.102,0.0135348439222623,0.868365377095774,0.921565647896831,FALSE,2.67104448264035,2.66672310307385,0.000287957675409289,0.262392024069466,0.701168930188861,1.9027592902975,3.6252551009595,6.2565666590933,7.74389821652998,11.7133230180498,15.2586916046165,0.102,1.29248836501384,0.671044482640347,3.11141210846782,0.128839681418632,0.898,0.102,0,1.38777878078145e-17
500,0.9,0.25,"Oracle-GMM",500,500,0,0,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE,1.98872541037265,1.98330172419376,0.00168783129975412,0.159710677376963,0.596974532775552,1.35986305310876,2.75493941867155,4.65894341582872,6.05161723855577,8.44198096525114,17.8290003086396,0.052,1.01003973084958,-0.0112745896273512,-0.0665142708100772,0.0419019506759284,0.948,0.052,0,4.85722573273506e-17
500,0.9,0.25,"Full-GMM",500,500,0,0,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE,2.22101482969204,2.17781443888742,0.00595745528569676,0.217610678965498,0.638293377088441,1.6403136477873,3.2707905998654,4.94171478210015,6.39808433968387,9.88589715617788,16.1006948918399,0.06,1.06786651066343,0.221014829692043,0.742875730226532,0.062196563500832,0.94,0.06,0,5.55111512312578e-17
500,0.9,0.25,"DML-IVQR-BC",500,500,0,0,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE,2.15042958505448,2.1553617863816,0.000380234030750439,0.222480595344156,0.608329825336446,1.38989210328231,3.01244102493276,5.25130532713735,6.40583973187737,8.79199569417361,13.2675567194458,0.07,1.06916091742033,0.15042958505448,0.645584430194075,0.0514901530535183,0.93,0.07,0,5.55111512312578e-17
500,0.9,0.1,"Oracle-GMM",500,500,0,0,0.95,0.05,0.00974679434480897,0.927231838828452,0.965906254756151,TRUE,2.0354838342384,2.02661312821601,0.00476345324723251,0.210840967421725,0.649398696454559,1.3732822425311,2.92418645491662,4.82844510079041,5.95995984461436,8.77614509089693,18.0445464117781,0.05,0.994741735973582,0.0354838342383985,0.107160771457473,0.0345614158435213,0.95,0.05,0,4.16333634234434e-17
