"n","tau","kappa","estimator","total_rows","R_available","number_missing","number_non_finite","empirical_coverage","empirical_size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval","mean_W_true","sd_W_true","min_W_true","q10_W_true","q25_W_true","median_W_true","q75_W_true","q90_W_true","q95_W_true","q99_W_true","max_W_true","empirical_rejection_rate","q95_ratio_to_chisq2_q95","mean_minus_chisq2_mean","variance_minus_chisq2_variance","max_abs_ecdf_difference_chisq2","summary_reported_coverage","summary_reported_size","summary_coverage_abs_difference","summary_size_abs_difference"
1000,0.1,1,"Oracle-GMM",500,500,0,0,0.86,0.14,0.0155177317930167,0.826833135055546,0.887677339812136,FALSE,3.07555936892213,3.2760727068278,0.000611765650841393,0.299747206494977,0.76094911940851,2.04347180365379,4.12873306994299,7.2306559386752,9.72349206203605,14.7036433502526,20.7409818433233,0.14,1.62289069485181,1.07555936892213,6.73265238042202,0.148808251279043,0.86,0.14,0,0
1000,0.1,1,"Full-GMM",500,500,0,0,0.502,0.498,0.0223605008888441,0.458326363229862,0.545643139408292,FALSE,7.81058760895074,6.84167909919807,0.0004896646117102,0.950598748445738,2.55151814156726,5.95006427582575,11.032883635038,16.9779415831745,21.0897041492197,29.8286369691297,41.2430455500727,0.498,3.51995809762397,5.81058760895074,42.8085728964037,0.516089049009705,0.502,0.498,0,0
1000,0.1,1,"DML-IVQR-BC",500,500,0,0,0.968,0.032,0.00787095928079926,0.948655130954558,0.980208486373429,TRUE,1.93591432627407,1.76980181410427,0.0076210721207499,0.217681387216824,0.601214369189011,1.44899710002264,2.81620469780473,4.19572208593409,5.25616406739145,7.47315099197385,11.9069382792493,0.032,0.877275334947705,-0.0640856737259297,-0.867801538793246,0.0271008463397238,0.968,0.032,0,2.77555756156289e-17
1000,0.25,1,"Oracle-GMM",500,500,0,0,0.874,0.126,0.0148407546977908,0.842032282280136,0.900264711054623,FALSE,2.70777781338476,2.70666460411208,0.00510860637526558,0.293506641020664,0.762834051273947,1.84521849136414,3.69295937638178,6.60423140912276,8.2998740967392,11.2510171779425,16.3047049326117,0.126,1.38528301911516,0.707777813384763,3.32603327915319,0.103624747676078,0.874,0.126,0,0
1000,0.25,1,"Full-GMM",500,500,0,0,0.79,0.21,0.018215378118502,0.752155153040702,0.823422729491598,FALSE,3.74774409050706,3.72067596672918,0.00710015434303823,0.476710089902509,1.13223014050875,2.57257910889601,5.25324837795362,8.21968988051447,10.9400983262828,18.0664064001716,26.9628744993679,0.21,1.82594726886325,1.74774409050706,9.84342964939609,0.230554311726943,0.79,0.21,0,2.77555756156289e-17
1000,0.25,1,"DML-IVQR-BC",500,500,0,0,0.894,0.106,0.0137669168661687,0.863949069989267,0.91804294972703,FALSE,2.52666279588853,2.48679708701146,0.000297127294194625,0.269026126198295,0.758140053658869,1.72033648700894,3.47453166440505,6.07137906762822,7.81056925436145,10.7192039024052,14.373584916483,0.106,1.30361603460235,0.526662795888535,2.18415975196871,0.102772524590352,0.894,0.106,0,1.38777878078145e-17
1000,0.5,1,"Oracle-GMM",500,500,0,0,0.872,0.128,0.0149409504383088,0.839854314691842,0.898473176004763,FALSE,2.83274761215262,2.69539734572801,0.000572704421750426,0.333482770747093,0.874868691203019,1.96125149869421,3.9182487316383,6.77886585127916,8.51070438403993,11.4579931240047,15.6712103750993,0.128,1.42047145854313,0.832747612152624,3.26516685135758,0.136768946725966,0.872,0.128,0,0
1000,0.5,1,"Full-GMM",500,500,0,0,0.896,0.104,0.013651666564929,0.866155729124342,0.919805793230109,FALSE,2.51083909582906,2.62184258296056,0.00108054268746976,0.206137142636725,0.623021854154767,1.64640782625505,3.5133272646517,6.14872215477595,7.52417334852391,11.9778041325992,20.0257455662914,0.104,1.25581538359528,0.510839095829064,2.87405852982532,0.0944153840391311,0.896,0.104,0,1.38777878078145e-17
1000,0.5,1,"DML-IVQR-BC",500,500,0,0,0.776,0.224,0.0186453211289052,0.737430335325131,0.810361028740092,FALSE,3.92210650713846,3.61290096334096,0.0107404458953841,0.408280812820955,1.12402977054816,2.93307048156277,5.68530323817358,9.0916721716406,11.1569446971217,14.8995568652063,19.7849013941372,0.224,1.86213981730177,1.92210650713846,9.05305337091002,0.274402121973115,0.776,0.224,0,2.77555756156289e-17
1000,0.75,1,"Oracle-GMM",500,500,0,0,0.86,0.14,0.0155177317930167,0.826833135055546,0.887677339812136,FALSE,2.8647758446961,2.9713640303408,0.00310259820849797,0.287040481743708,0.814351970772625,1.82015140318881,3.82872451351724,6.83852342180787,8.76312549032182,14.0316794040727,20.2177741478538,0.14,1.46260157619587,0.864775844696095,4.82900420080309,0.122238330477856,0.86,0.14,0,0
