"n","kappa","joint_first_stage_F","partial_R2"
500,1,104.448522009393,0.344773169106779
500,0.5,25.0281367125767,0.111968618719169
500,0.25,7.90241783822351,0.0382864596306103
500,0.1,2.78184709604879,0.0138206556437319
1000,1,197.390340343194,0.305609680179317
1000,0.5,20.7417751904395,0.0442027464030063
1000,0.25,1.57242653975262,0.00349371889284965
1000,0.1,0.600026914312928,0.0013360651933949
